forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-28,-1 day ahead cum death,2021-03-27,PL,Poland,observed,NA,51227
2021-03-28,-1 day ahead inc death,2021-03-27,PL,Poland,observed,NA,443
2021-03-28,-1 wk ahead cum death,2021-03-20,PL,Poland,observed,NA,48739
2021-03-28,-1 wk ahead inc death,2021-03-20,PL,Poland,observed,NA,2081
2021-03-28,0 day ahead cum death,2021-03-28,PL,Poland,observed,NA,51675
2021-03-28,0 day ahead inc death,2021-03-28,PL,Poland,observed,NA,448
2021-03-28,0 wk ahead cum death,2021-03-27,PL,Poland,observed,NA,51227
2021-03-28,0 wk ahead inc death,2021-03-27,PL,Poland,observed,NA,2488
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,point,NA,52090
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,point,NA,415
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,point,NA,54240
2021-03-28,1 wk ahead inc death,2021-04-03,PL,Poland,point,NA,3013
2021-03-28,2 day ahead cum death,2021-03-30,PL,Poland,point,NA,52501
2021-03-28,2 day ahead inc death,2021-03-30,PL,Poland,point,NA,414
2021-03-28,3 day ahead cum death,2021-03-31,PL,Poland,point,NA,52902
2021-03-28,3 day ahead inc death,2021-03-31,PL,Poland,point,NA,412
2021-03-28,4 day ahead cum death,2021-04-01,PL,Poland,point,NA,53313
2021-03-28,4 day ahead inc death,2021-04-01,PL,Poland,point,NA,422
2021-03-28,5 day ahead cum death,2021-04-02,PL,Poland,point,NA,53756
2021-03-28,5 day ahead inc death,2021-04-02,PL,Poland,point,NA,444
2021-03-28,6 day ahead cum death,2021-04-03,PL,Poland,point,NA,54240
2021-03-28,6 day ahead inc death,2021-04-03,PL,Poland,point,NA,470
2021-03-28,7 day ahead cum death,2021-04-04,PL,Poland,point,NA,54764
2021-03-28,7 day ahead inc death,2021-04-04,PL,Poland,point,NA,490
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.01,52007
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.025,52017
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.05,52027
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.1,52039
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.15,52047
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.2,52055
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.25,52062
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.3,52069
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.35,52075
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.4,52080
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.45,52085
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.5,52090
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.55,52095
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.6,52100
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.65,52104
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.7,52109
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.75,52114
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.8,52119
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.85,52125
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.9,52132
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.95,52143
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.975,52152
2021-03-28,1 day ahead cum death,2021-03-29,PL,Poland,quantile,0.99,52163
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.01,332
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.025,342
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.05,352
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.1,364
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.15,372
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.2,380
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.25,387
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.3,394
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.35,400
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.4,405
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.45,410
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.5,415
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.55,420
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.6,425
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.65,429
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.7,434
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.75,439
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.8,444
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.85,450
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.9,457
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.95,468
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.975,477
2021-03-28,1 day ahead inc death,2021-03-29,PL,Poland,quantile,0.99,488
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.01,53967
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.025,53998
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.05,54024
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.1,54061
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.15,54090
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.2,54113
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.25,54138
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.3,54162
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.35,54184
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.4,54203
2021-03-28,1 wk ahead cum death,2021-04-03,PL,Poland,quantile,0.45,54221
