"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.01,18
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.1,25
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.15,27
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.025,20
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.2,28
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.25,30
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.3,31
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.35,32
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.4,33
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.45,35
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.05,22
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.5,36
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.55,37
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.6,38
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.65,39
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.7,41
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.75,42
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.8,44
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.85,46
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.9,48
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.95,52
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.975,56
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","quantile",0.99,61
"2021-07-19","1 wk ahead inc death","2021-07-24","PL","point",0.5,36
