"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","point",NA,1439630
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.01,781541
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.025,850363
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.05,925754
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.1,1008378
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.15,1060310
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.2,1115252
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.25,1173388
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.3,1234916
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.35,1282668
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.4,1332649
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.45,1384970
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.5,1439630
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.55,1497100
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.6,1557160
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.65,1620061
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.7,1685944
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.75,1778946
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.8,1877557
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.85,1982131
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.9,2093043
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.95,2294881
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.975,2517241
"GM","2022-04-03","2022-04-09","1 wk ahead inc case","quantile",0.99,2762274
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","point",NA,1480582
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.01,558524
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.025,633366
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.05,718321
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.1,814766
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.15,883464
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.2,958017
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.25,1038927
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.3,1126743
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.35,1206404
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.4,1291772
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.45,1383261
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.5,1480582
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.55,1586413
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.6,1699065
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.65,1819821
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.7,1949272
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.75,2116515
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.8,2298214
"GM","2022-04-03","2022-04-16","2 wk ahead inc case","quantile",0.85,2495629
