"location","forecast_date","target_end_date","target","type","quantile","value"
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","point",NA,5535
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.01,3187
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.025,3445
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.05,3725
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.1,4030
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.15,4216
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.2,4413
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.25,4620
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.3,4839
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.35,5002
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.4,5172
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.45,5350
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.5,5535
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.55,5730
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.6,5933
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.65,6145
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.7,6367
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.75,6689
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.8,7031
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.85,7391
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.9,7773
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.95,8479
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.975,9253
"PL","2022-04-10","2022-04-16","1 wk ahead inc case","quantile",0.99,10104
"PL","2022-04-10","2022-04-23","2 wk ahead inc case","point",NA,2229
"PL","2022-04-10","2022-04-23","2 wk ahead inc case","quantile",0.01,886
"PL","2022-04-10","2022-04-23","2 wk ahead inc case","quantile",0.025,998
"PL","2022-04-10","2022-04-23","2 wk ahead inc case","quantile",0.05,1125
