"location","forecast_date","target_end_date","target","type","quantile","value"
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","point",NA,20
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.01,6
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.025,7
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.05,9
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.1,10
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.15,11
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.2,12
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.25,14
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.3,15
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.35,16
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.4,17
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.45,19
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.5,20
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.55,21
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.6,23
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.65,25
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.7,27
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.75,30
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.8,33
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.85,37
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.9,41
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.95,49
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.975,58
"PL","2022-05-22","2022-05-28","1 wk ahead inc death","quantile",0.99,68
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","point",NA,15
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.01,3
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.025,4
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.05,5
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.1,6
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.15,7
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.2,7
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.25,8
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.3,10
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.35,11
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.4,12
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.45,13
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.5,15
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.55,16
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.6,18
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.65,20
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.7,22
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.75,26
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.8,30
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.85,34
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.9,39
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.95,49
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.975,60
"PL","2022-05-22","2022-06-04","2 wk ahead inc death","quantile",0.99,75
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","point",NA,11
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.01,1
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.025,2
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.05,2
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.1,3
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.15,4
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.2,4
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.25,5
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.3,6
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.35,7
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.4,8
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.45,9
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.5,11
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.55,12
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.6,14
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.65,16
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.7,18
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.75,22
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.8,26
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.85,31
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.9,37
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.95,48
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.975,62
"PL","2022-05-22","2022-06-11","3 wk ahead inc death","quantile",0.99,80
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","point",NA,7
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.01,0
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.025,1
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.05,1
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.1,2
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.15,2
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.2,2
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.25,3
"PL","2022-05-22","2022-06-18","4 wk ahead inc death","quantile",0.3,4
