"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","point",NA,87
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.01,30
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.025,35
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.05,40
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.1,46
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.15,51
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.2,56
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.25,61
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.3,67
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.35,72
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.4,77
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.45,82
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.5,87
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.55,94
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.6,100
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.65,107
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.7,115
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.75,127
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.8,141
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.85,156
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.9,173
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.95,204
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.975,240
"GM","2022-05-29","2022-06-04","1 wk ahead inc death","quantile",0.99,283
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","point",NA,59
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.01,14
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.025,17
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.05,21
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.1,25
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.15,28
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.2,31
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.25,35
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.3,40
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.35,44
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.4,49
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.45,54
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.5,59
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.55,65
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.6,72
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.65,79
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.7,88
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.75,100
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.8,115
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.85,131
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.9,150
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.95,184
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.975,227
"GM","2022-05-29","2022-06-11","2 wk ahead inc death","quantile",0.99,279
"GM","2022-05-29","2022-06-18","3 wk ahead inc death","point",NA,40
"GM","2022-05-29","2022-06-18","3 wk ahead inc death","quantile",0.01,7
"GM","2022-05-29","2022-06-18","3 wk ahead inc death","quantile",0.025,8
"GM","2022-05-29","2022-06-18","3 wk ahead inc death","quantile",0.05,10
"GM","2022-05-29","2022-06-18","3 wk ahead inc death","quantile",0.1,13
