"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-29,"-1 wk ahead inc death",2021-03-20,"GM","observed",NA,1264,"Germany"
2021-03-29,"0 wk ahead inc death",2021-03-27,"GM","observed",NA,1215,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","point",NA,1205,"Germany"
2021-03-29,"2 wk ahead inc death",2021-04-10,"GM","point",NA,1205,"Germany"
2021-03-29,"3 wk ahead inc death",2021-04-17,"GM","point",NA,1205,"Germany"
2021-03-29,"4 wk ahead inc death",2021-04-24,"GM","point",NA,1205,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.01,807,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.025,863,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.05,913,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.1,973,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.15,1014,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.2,1049,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.25,1078,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.3,1106,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.35,1131,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.4,1156,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.45,1181,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.5,1205,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.55,1229,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.6,1255,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.65,1281,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.7,1309,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.75,1340,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.8,1375,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.85,1417,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.9,1471,"Germany"
2021-03-29,"1 wk ahead inc death",2021-04-03,"GM","quantile",0.95,1552,"Germany"
