"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-06-28,"-1 wk ahead inc death",2021-06-19,"GM","observed",NA,553,"Germany"
2021-06-28,"0 wk ahead inc death",2021-06-26,"GM","observed",NA,377,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","point",NA,369,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","point",NA,369,"Germany"
2021-06-28,"3 wk ahead inc death",2021-07-17,"GM","point",NA,369,"Germany"
2021-06-28,"4 wk ahead inc death",2021-07-24,"GM","point",NA,369,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.01,188,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.025,211,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.05,233,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.1,259,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.15,278,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.2,294,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.25,308,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.3,321,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.35,333,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.4,345,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.45,357,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.5,369,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.55,381,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.6,394,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.65,407,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.7,421,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.75,437,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.8,455,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.85,477,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.9,505,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.95,549,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.975,589,"Germany"
2021-06-28,"1 wk ahead inc death",2021-07-03,"GM","quantile",0.99,638,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.01,188,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.025,211,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.05,233,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.1,259,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.15,278,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.2,294,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.25,308,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.3,321,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.35,333,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.4,345,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.45,357,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.5,369,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.55,381,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.6,394,"Germany"
2021-06-28,"2 wk ahead inc death",2021-07-10,"GM","quantile",0.65,407,"Germany"
