"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-11-01,"-1 wk ahead inc case",2021-10-23,"PL","observed",NA,28084,"Poland"
2021-11-01,"0 wk ahead inc case",2021-10-30,"PL","observed",NA,46343,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","point",NA,42143,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","point",NA,42143,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","point",NA,42143,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","point",NA,42143,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.01,8511,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.025,11523,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.05,14697,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.1,19102,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.15,22565,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.2,25618,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.25,28459,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.3,31190,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.35,33878,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.4,36571,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.45,39313,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.5,42143,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.55,45107,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.6,48259,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.65,51667,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.7,55427,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.75,59681,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.8,64663,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.85,70801,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.9,79040,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.95,92334,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.975,104937,"Poland"
2021-11-01,"1 wk ahead inc case",2021-11-06,"PL","quantile",0.99,120873,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.01,8511,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.025,11523,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.05,14697,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.1,19102,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.15,22565,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.2,25618,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.25,28459,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.3,31190,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.35,33878,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.4,36571,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.45,39313,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.5,42143,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.55,45107,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.6,48259,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.65,51667,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.7,55427,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.75,59681,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.8,64663,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.85,70801,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.9,79040,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.95,92334,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.975,104937,"Poland"
2021-11-01,"2 wk ahead inc case",2021-11-13,"PL","quantile",0.99,120873,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.01,8511,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.025,11523,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.05,14697,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.1,19102,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.15,22565,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.2,25618,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.25,28459,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.3,31190,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.35,33878,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.4,36571,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.45,39313,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.5,42143,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.55,45107,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.6,48259,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.65,51667,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.7,55427,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.75,59681,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.8,64663,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.85,70801,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.9,79040,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.95,92334,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.975,104937,"Poland"
2021-11-01,"3 wk ahead inc case",2021-11-20,"PL","quantile",0.99,120873,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.01,8511,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.025,11523,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.05,14697,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.1,19102,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.15,22565,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.2,25618,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.25,28459,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.3,31190,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.35,33878,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.4,36571,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.45,39313,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.5,42143,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.55,45107,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.6,48259,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.65,51667,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.7,55427,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.75,59681,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.8,64663,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.85,70801,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.9,79040,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.95,92334,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.975,104937,"Poland"
2021-11-01,"4 wk ahead inc case",2021-11-27,"PL","quantile",0.99,120873,"Poland"
2021-11-01,"-1 wk ahead cum case",2021-10-23,"PL","observed",NA,2960488,"Poland"
2021-11-01,"0 wk ahead cum case",2021-10-30,"PL","observed",NA,3006831,"Poland"
2021-11-01,"1 wk ahead cum case",2021-11-06,"PL","point",NA,3048974,"Poland"
2021-11-01,"2 wk ahead cum case",2021-11-13,"PL","point",NA,3095277,"Poland"
2021-11-01,"3 wk ahead cum case",2021-11-20,"PL","point",NA,3141607,"Poland"
2021-11-01,"4 wk ahead cum case",2021-11-27,"PL","point",NA,3187944,"Poland"
