"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-11-22,"-1 wk ahead inc case",2021-11-13,"GM","observed",NA,244481,"Germany"
2021-11-22,"0 wk ahead inc case",2021-11-20,"GM","observed",NA,324244,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","point",NA,310893,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","point",NA,310893,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","point",NA,310893,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","point",NA,310893,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.01,118085,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.025,140276,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.05,161620,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.1,188963,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.15,209138,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.2,226200,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.25,241581,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.3,255989,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.35,269853,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.4,283470,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.45,297078,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.5,310893,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.55,325131,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.6,340037,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.65,355914,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.7,373168,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.75,392397,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.8,414561,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.85,441410,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.9,476762,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.95,532438,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.975,583959,"Germany"
2021-11-22,"1 wk ahead inc case",2021-11-27,"GM","quantile",0.99,647711,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.01,118085,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.025,140276,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.05,161620,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.1,188963,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.15,209138,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.2,226200,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.25,241581,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.3,255989,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.35,269853,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.4,283470,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.45,297078,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.5,310893,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.55,325131,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.6,340037,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.65,355914,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.7,373168,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.75,392397,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.8,414561,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.85,441410,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.9,476762,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.95,532438,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.975,583959,"Germany"
2021-11-22,"2 wk ahead inc case",2021-12-04,"GM","quantile",0.99,647711,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.01,118085,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.025,140276,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.05,161620,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.1,188963,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.15,209138,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.2,226200,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.25,241581,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.3,255989,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.35,269853,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.4,283470,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.45,297078,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.5,310893,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.55,325131,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.6,340037,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.65,355914,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.7,373168,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.75,392397,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.8,414561,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.85,441410,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.9,476762,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.95,532438,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.975,583959,"Germany"
2021-11-22,"3 wk ahead inc case",2021-12-11,"GM","quantile",0.99,647711,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.01,118085,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.025,140276,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.05,161620,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.1,188963,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.15,209138,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.2,226200,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.25,241581,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.3,255989,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.35,269853,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.4,283470,"Germany"
2021-11-22,"4 wk ahead inc case",2021-12-18,"GM","quantile",0.45,297078,"Germany"
