"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-12-20,"-1 wk ahead inc death",2021-12-11,"PL","observed",NA,2801,"Poland"
2021-12-20,"0 wk ahead inc death",2021-12-18,"PL","observed",NA,2944,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","point",NA,2928,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","point",NA,2928,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","point",NA,2928,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","point",NA,2928,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.01,2135,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.025,2249,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.05,2350,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.1,2470,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.15,2554,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.2,2622,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.25,2681,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.3,2734,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.35,2785,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.4,2833,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.45,2881,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.5,2928,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.55,2976,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.6,3025,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.65,3076,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.7,3130,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.75,3190,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.8,3257,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.85,3337,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.9,3438,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.95,3593,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.975,3731,"Poland"
2021-12-20,"1 wk ahead inc death",2021-12-25,"PL","quantile",0.99,3895,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.01,2135,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.025,2249,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.05,2350,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.1,2470,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.15,2554,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.2,2622,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.25,2681,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.3,2734,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.35,2785,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.4,2833,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.45,2881,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.5,2928,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.55,2976,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.6,3025,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.65,3076,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.7,3130,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.75,3190,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.8,3257,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.85,3337,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.9,3438,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.95,3593,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.975,3731,"Poland"
2021-12-20,"2 wk ahead inc death",2022-01-01,"PL","quantile",0.99,3895,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.01,2135,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.025,2249,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.05,2350,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.1,2470,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.15,2554,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.2,2622,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.25,2681,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.3,2734,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.35,2785,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.4,2833,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.45,2881,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.5,2928,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.55,2976,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.6,3025,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.65,3076,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.7,3130,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.75,3190,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.8,3257,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.85,3337,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.9,3438,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.95,3593,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.975,3731,"Poland"
2021-12-20,"3 wk ahead inc death",2022-01-08,"PL","quantile",0.99,3895,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.01,2135,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.025,2249,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.05,2350,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.1,2470,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.15,2554,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.2,2622,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.25,2681,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.3,2734,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.35,2785,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.4,2833,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.45,2881,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.5,2928,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.55,2976,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.6,3025,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.65,3076,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.7,3130,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.75,3190,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.8,3257,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.85,3337,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.9,3438,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.95,3593,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.975,3731,"Poland"
2021-12-20,"4 wk ahead inc death",2022-01-15,"PL","quantile",0.99,3895,"Poland"
2021-12-20,"-1 wk ahead cum death",2021-12-11,"PL","observed",NA,87835,"Poland"
2021-12-20,"0 wk ahead cum death",2021-12-18,"PL","observed",NA,90779,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","point",NA,93707,"Poland"
2021-12-20,"2 wk ahead cum death",2022-01-01,"PL","point",NA,96651,"Poland"
2021-12-20,"3 wk ahead cum death",2022-01-08,"PL","point",NA,99595,"Poland"
2021-12-20,"4 wk ahead cum death",2022-01-15,"PL","point",NA,102539,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.01,92914,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.025,93028,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.05,93129,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.1,93249,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.15,93333,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.2,93401,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.25,93460,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.3,93513,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.35,93564,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.4,93612,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.45,93660,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.5,93707,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.55,93755,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.6,93804,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.65,93855,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.7,93909,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.75,93969,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.8,94036,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.85,94116,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.9,94217,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.95,94372,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.975,94510,"Poland"
2021-12-20,"1 wk ahead cum death",2021-12-25,"PL","quantile",0.99,94674,"Poland"
