"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-04-12,"-1 wk ahead inc case",2021-04-03,"GM01","observed",NA,15283,"Baden-Württemberg State"
2021-04-12,"0 wk ahead inc case",2021-04-10,"GM01","observed",NA,13771,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","point",NA,13536,"Baden-Württemberg State"
2021-04-12,"2 wk ahead inc case",2021-04-24,"GM01","point",NA,13168.5,"Baden-Württemberg State"
2021-04-12,"3 wk ahead inc case",2021-05-01,"GM01","point",NA,12797.5,"Baden-Württemberg State"
2021-04-12,"4 wk ahead inc case",2021-05-08,"GM01","point",NA,12456,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.01,7441,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.025,8243.95,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.05,8986,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.1,9883,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.15,10511,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.2,11038,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.25,11511,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.3,11946,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.35,12351,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.4,12744,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.45,13134,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.5,13536,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.55,13930,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.6,14345,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.65,14783,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.7,15243.3,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.75,15767,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.8,16358,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.85,17083,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.9,17981,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.95,19418.05,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.975,20690.025,"Baden-Württemberg State"
2021-04-12,"1 wk ahead inc case",2021-04-17,"GM01","quantile",0.99,22285.04,"Baden-Württemberg State"
2021-04-12,"2 wk ahead inc case",2021-04-24,"GM01","quantile",0.01,5767,"Baden-Württemberg State"
2021-04-12,"2 wk ahead inc case",2021-04-24,"GM01","quantile",0.025,6614,"Baden-Württemberg State"
