"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-03,"-1 wk ahead inc death",2021-04-24,"GM01","observed",NA,154,"Baden-Württemberg State"
2021-05-03,"0 wk ahead inc death",2021-05-01,"GM01","observed",NA,165,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","point",NA,176,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","point",NA,186,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","point",NA,197,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","point",NA,208,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.01,115,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.025,124,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.05,131,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.1,140,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.15,147,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.2,152,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.25,156,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.3,161,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.35,164,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.4,168,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.45,172,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.5,176,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.55,179,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.6,183,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.65,187,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.7,191,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.75,196,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.8,201,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.85,207,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.9,215,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.95,227,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.975,238,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.99,251,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.01,103,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.025,114,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.05,124,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.1,136,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.15,144,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.2,152,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.25,158,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.3,164,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.35,169,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.4,175,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.45,180,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.5,186,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.55,191,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.6,197,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.65,203,"Baden-Württemberg State"
