"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-10,"-1 wk ahead inc case",2021-05-01,"PL72","observed",NA,4986,"Dolnoslaskie"
2021-05-10,"0 wk ahead inc case",2021-05-08,"PL72","observed",NA,3254,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","point",NA,2092,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","point",NA,1337,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","point",NA,855,"Dolnoslaskie"
2021-05-10,"4 wk ahead inc case",2021-06-05,"PL72","point",NA,545,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.01,1232,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.025,1348,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.05,1450,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.1,1579,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.15,1670,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.2,1744,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.25,1811,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.3,1872,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.35,1929,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.4,1984,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.45,2037,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.5,2092,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.55,2149,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.6,2206,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.65,2266,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.7,2330,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.75,2399,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.8,2481,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.85,2578,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.9,2703,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.95,2897,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.975,3072,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.99,3289,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.01,642,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.025,725,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.05,803,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.1,901,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.15,972,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.2,1033,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.25,1088,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.3,1140,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.35,1190,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.4,1239,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.45,1287,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.5,1337,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.55,1387,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.6,1439,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.65,1496,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.7,1557,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.75,1626,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.8,1704,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.85,1801,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.9,1931,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.95,2133,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.975,2327,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.99,2566,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.01,350,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.025,405,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.05,459,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.1,527,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.15,579,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.2,623,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.25,664,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.3,703,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.35,742,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.4,779,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.45,817,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.5,855,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.55,895,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.6,936,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.65,982,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.7,1032,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.75,1089,"Dolnoslaskie"
