"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-08-16,"-1 wk ahead inc death",2021-08-07,"PL72","observed",NA,2,"Dolnoslaskie"
2021-08-16,"0 wk ahead inc death",2021-08-14,"PL72","observed",NA,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-16,"2 wk ahead inc death",2021-08-28,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-16,"3 wk ahead inc death",2021-09-04,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-16,"4 wk ahead inc death",2021-09-11,"PL72","point",NA,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.01,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.025,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.05,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.1,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.15,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.2,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.25,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.3,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.35,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.4,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.45,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.5,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.55,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.6,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.65,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.7,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.75,0,"Dolnoslaskie"
2021-08-16,"1 wk ahead inc death",2021-08-21,"PL72","quantile",0.8,0,"Dolnoslaskie"
