"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,145
2021-05-24,"2 wk ahead inc death",2021-06-05,"GM01","Baden-Wurttemberg","point",NA,145
2021-05-24,"3 wk ahead inc death",2021-06-12,"GM01","Baden-Wurttemberg","point",NA,145
2021-05-24,"4 wk ahead inc death",2021-06-19,"GM01","Baden-Wurttemberg","point",NA,145
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.01,73
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.025,85
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.05,95
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.1,107
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.15,113
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.2,119
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.25,125
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.3,129
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.35,133
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.4,137
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.45,141
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.5,145
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.55,149
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.6,153
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.65,157
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.7,161
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.75,166
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.8,171
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.85,177
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.9,184
2021-05-24,"1 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.95,195
