"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","point",NA,2
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","point",NA,2
2021-08-02,"3 wk ahead inc death",2021-08-21,"PL72","Dolnoslaskie Province","point",NA,1
2021-08-02,"4 wk ahead inc death",2021-08-28,"PL72","Dolnoslaskie Province","point",NA,1
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.01,0
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.025,0
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.05,0
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.1,0
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.15,1
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.2,1
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.25,1
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.3,1
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.35,2
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.4,2
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.45,2
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.5,2
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.55,2
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.6,3
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.65,3
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.7,3
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.75,3
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.8,3
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.85,4
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.9,4
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.95,5
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.975,5
2021-08-02,"1 wk ahead inc death",2021-08-07,"PL72","Dolnoslaskie Province","quantile",0.99,6
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.01,0
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.025,0
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.05,0
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.1,0
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.15,0
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.2,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.25,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.3,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.35,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.4,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.45,1
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.5,2
2021-08-02,"2 wk ahead inc death",2021-08-14,"PL72","Dolnoslaskie Province","quantile",0.55,2
