"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","point",NA,14606
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","point",NA,18120
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","point",NA,22817
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","point",NA,27865
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.01,4238
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.025,5675
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.05,7106
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.1,8686
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.15,9801
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.2,10699
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.25,11445
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.3,12148
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.35,12796
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.4,13391
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.45,13984
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.5,14606
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.55,15156
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.6,15682
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.65,16296
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.7,16936
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.75,17625
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.8,18384
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.85,19255
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.9,20365
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.95,22075
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.975,23344
2021-09-13,"1 wk ahead inc case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.99,25001
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.01,2920
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.025,4461
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.05,5984
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.1,8116
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.15,9743
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.2,11208
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.25,12501
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.3,13747
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.35,14774
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.4,15870
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.45,17080
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.5,18120
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.55,19415
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.6,20714
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.65,22051
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.7,23685
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.75,25532
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.8,27476
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.85,29916
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.9,32992
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.95,37859
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.975,42958
2021-09-13,"2 wk ahead inc case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.99,48716
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.01,1870
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.025,3285
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.05,4914
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.1,7508
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.15,9571
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.2,11349
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.25,13263
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.3,14949
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.35,16900
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.4,18787
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.45,20701
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.5,22817
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.55,25052
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.6,27363
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.65,30011
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.7,32907
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.75,36400
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.8,40215
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.85,45649
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.9,53443
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.95,66445
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.975,78684
2021-09-13,"3 wk ahead inc case",2021-10-02,"GM01","Baden-Wurttemberg","quantile",0.99,96480
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.01,1242
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.025,2495
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.05,4211
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.1,6886
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.15,9397
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.2,11514
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.25,14000
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.3,16324
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.35,19084
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.4,21806
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.45,24787
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.5,27865
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.55,31524
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.6,35389
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.65,40003
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.7,45409
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.75,51861
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.8,59686
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.85,70213
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.9,87047
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.95,115621
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.975,146567
2021-09-13,"4 wk ahead inc case",2021-10-09,"GM01","Baden-Wurttemberg","quantile",0.99,187614
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","point",NA,559688
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","point",NA,577944
2021-09-13,"3 wk ahead cum case",2021-10-02,"GM01","Baden-Wurttemberg","point",NA,601097
2021-09-13,"4 wk ahead cum case",2021-10-09,"GM01","Baden-Wurttemberg","point",NA,629597
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.01,549320
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.025,550757
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.05,552188
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.1,553768
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.15,554883
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.2,555781
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.25,556527
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.3,557230
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.35,557878
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.4,558473
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.45,559066
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.5,559688
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.55,560238
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.6,560764
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.65,561378
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.7,562018
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.75,562707
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.8,563466
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.85,564337
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.9,565447
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.95,567157
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.975,568426
2021-09-13,"1 wk ahead cum case",2021-09-18,"GM01","Baden-Wurttemberg","quantile",0.99,570083
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.01,553277
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.025,556328
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.05,559198
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.1,562741
2021-09-13,"2 wk ahead cum case",2021-09-25,"GM01","Baden-Wurttemberg","quantile",0.15,565630
