"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","point",NA,13442
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","point",NA,18610
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","point",NA,25481
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","point",NA,34438
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.01,1711
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.025,3375
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.05,5149
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.1,7050
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.15,8241
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.2,9198
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.25,10036
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.3,10790
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.35,11513
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.4,12168
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.45,12845
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.5,13442
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.55,14124
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.6,14768
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.65,15435
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.7,16132
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.75,16901
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.8,17690
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.85,18632
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.9,19828
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.95,21809
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.975,23390
2021-11-22,"1 wk ahead inc case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.99,25101
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.01,1817
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.025,3359
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.05,4907
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.1,7019
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.15,8706
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.2,10103
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.25,11512
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.3,12994
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.35,14335
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.4,15694
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.45,17114
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.5,18610
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.55,20211
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.6,21764
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.65,23701
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.7,25661
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.75,27892
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.8,30347
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.85,33514
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.9,37766
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.95,45220
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.975,52690
2021-11-22,"2 wk ahead inc case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.99,61598
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.01,1015
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.025,2078
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.05,3548
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.1,5959
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.15,8189
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.2,10281
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.25,12496
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.3,14792
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.35,17199
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.4,19767
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.45,22445
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.5,25481
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.55,28571
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.6,32574
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.65,37023
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.7,42188
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.75,48028
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.8,54900
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.85,65242
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.9,79753
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.95,104602
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.975,135200
2021-11-22,"3 wk ahead inc case",2021-12-11,"PL72","Dolnoslaskie Province","quantile",0.99,172320
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.01,466
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.025,1103
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.05,2196
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.1,4581
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.15,7102
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.2,9716
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.25,12556
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.3,15821
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.35,19297
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.4,23844
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.45,28958
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.5,34438
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.55,40537
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.6,47881
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.65,57298
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.7,68911
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.75,84062
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.8,102241
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.85,129624
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.9,176437
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.95,262272
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.975,387467
2021-11-22,"4 wk ahead inc case",2021-12-18,"PL72","Dolnoslaskie Province","quantile",0.99,581688
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","point",NA,250557
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","point",NA,269362
2021-11-22,"3 wk ahead cum case",2021-12-11,"PL72","Dolnoslaskie Province","point",NA,294885
2021-11-22,"4 wk ahead cum case",2021-12-18,"PL72","Dolnoslaskie Province","point",NA,330969
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.01,238826
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.025,240490
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.05,242264
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.1,244165
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.15,245356
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.2,246313
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.25,247151
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.3,247905
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.35,248628
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.4,249283
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.45,249960
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.5,250557
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.55,251239
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.6,251883
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.65,252550
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.7,253247
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.75,254016
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.8,254805
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.85,255747
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.9,256943
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.95,258924
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.975,260505
2021-11-22,"1 wk ahead cum case",2021-11-27,"PL72","Dolnoslaskie Province","quantile",0.99,262216
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.01,242091
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.025,245562
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.05,248438
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.1,252342
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.15,255002
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.2,257231
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.25,259301
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.3,261234
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.35,263209
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.4,265200
2021-11-22,"2 wk ahead cum case",2021-12-04,"PL72","Dolnoslaskie Province","quantile",0.45,267231
