"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","point",NA,5732.80039798971,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","point",NA,3902.00942738462,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","point",NA,2627.79806816734,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","point",NA,1789.89474966125,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.01,3607.86408587204,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.01,2114.47644639823,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.01,669.768120836892,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","quantile",0.01,313.431169881173,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.025,3800.07915442639,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.025,2282.08395975033,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.025,706.067265646066,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","quantile",0.025,331.258868864198,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.05,4071.99462026265,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.05,2509.97994228547,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.05,746.591483941466,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","quantile",0.05,362.024981344491,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.1,4468.13293185131,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.1,2886.78166178413,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.1,814.785973618326,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","quantile",0.1,409.333427539142,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.15,4730.90190908617,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.15,3090.33435419636,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.15,868.171385718363,"PL72"
2021-04-26,"4 wk ahead inc case",2021-05-22,"PL72","quantile",0.15,452.267526056565,"PL72"
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL72","quantile",0.2,4880.13606365838,"PL72"
2021-04-26,"2 wk ahead inc case",2021-05-08,"PL72","quantile",0.2,3183.07674048423,"PL72"
2021-04-26,"3 wk ahead inc case",2021-05-15,"PL72","quantile",0.2,930.498035084417,"PL72"
