"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","point",NA,11747.3281876061,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","point",NA,11565.0576934816,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","point",NA,11818.0844056097,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","point",NA,12006.4936893113,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.01,7178.50733529072,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.01,3874.01990695457,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.01,1730.878942619,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.01,1125.52323713926,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.025,8088.78415671664,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.025,4758.4409849261,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.025,2803.4039642497,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.025,1334.26535712771,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.05,8876.2100804702,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.05,5742.82553374481,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.05,3751.04184073039,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.05,2499.00125520869,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.1,9432.7627283951,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.1,7007.01070210725,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.1,4965.91979794097,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.1,3968.36648680571,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.15,9821.70440176807,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.15,7975.06109861252,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.15,5877.92530166379,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.15,5046.64403931443,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.2,10193.7957268208,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.2,8559.98436627598,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.2,6666.46328299016,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.2,5967.17686538191,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.25,10518.8391829077,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.25,9141.04431098599,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.25,7387.6618725631,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.25,6808.9915441877,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.3,10779.4191597764,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.3,9681.63026953694,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.3,8364.21569789043,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.3,7818.33831497304,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.35,11023.7414988169,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.35,10239.3214126122,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.35,9494.74747412708,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.35,9257.16419618978,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.4,11258.2132069531,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.4,10682.6572778659,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.4,10334.6267488754,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.4,10183.1412849055,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.45,11503.5262387888,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.45,11128.3291752963,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.45,10999.3259545421,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.45,11047.9364988992,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.5,11747.3281876061,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.5,11565.0576934816,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.5,11818.0844056097,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.5,12006.4936893113,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.55,12126.3040995982,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.55,12033.8285034936,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.55,12493.4496585095,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.55,12899.1876842374,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.6,12359.0546275296,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.6,12510.8479637697,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.6,13174.8101665491,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.6,13819.9480239892,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.65,12599.8674584983,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.65,13075.728403555,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.65,13887.7333461931,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.65,14750.9967887487,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.7,12880.7558423813,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.7,13634.739992665,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.7,14765.1356097198,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.7,15844.2891786205,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.75,13165.5409150967,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.75,14237.4982207692,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.75,15581.2256910051,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.75,17039.9476866405,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.8,13510.8818732792,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.8,14851.650269116,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.8,16568.1806805409,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.8,18255.915247806,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.85,13941.3241949466,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.85,15611.1641360672,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.85,17733.453790775,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.85,19716.7002429537,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.9,14495.8546720743,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.9,16440.2707507995,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.9,19071.0603696066,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.9,21544.3650588903,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.95,15192.7715065775,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.95,17783.8851655638,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.95,21036.1959118548,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.95,24107.9898102119,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.975,15769.686087283,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.975,18793.2732302683,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.975,22417.2010259085,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.975,26077.0381886134,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.99,16406.1265557283,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.99,20320.6309233352,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.99,24067.9307028457,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.99,28547.2302035561,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","point",NA,13070.6006892697,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","point",NA,12994.5467750464,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","point",NA,13186.8599233114,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","point",NA,13378.8700349556,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.01,8588.00149410326,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.01,5777.46894874893,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.01,3328.22496233391,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.01,2255.4811919133,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.025,8975.92791105357,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.025,6568.42757535466,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.025,4470.25249474749,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.025,2621.64568585888,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.05,9924.34851032913,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.05,7245.41203650002,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.05,5459.09132274897,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.05,3893.419321691,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.1,10924.8249505624,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.1,8589.7042043058,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.1,6696.58697322547,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.1,5459.09867756574,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.15,11375.4360617222,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.15,9545.94906226068,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.15,7548.41752534906,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.15,6558.1289014168,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.2,11710.5177837426,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.2,10310.3470079208,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.2,8297.67969548576,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.2,7496.7560890619,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.25,11944.3522453478,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.25,10934.5205534142,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.25,8917.89712672687,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.25,8299.31032843665,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.3,12200.4255357235,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.3,11357.5443782082,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.3,9675.80697715734,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.3,9198.43554398048,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.35,12407.7486645641,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.35,11780.127330722,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.35,10741.9807246939,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.35,10403.2686685456,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.4,12589.2215530912,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.4,12185.3595467482,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.4,11697.3538260535,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.4,11757.7826452884,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.45,12780.8669001822,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.45,12548.0218791765,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.45,12626.3763699091,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.45,12653.6428567716,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.5,13070.6006892697,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.5,12994.5467750464,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.5,13186.8599233114,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.5,13378.8700349556,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.55,13277.6357166435,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.55,13439.9872157853,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.55,13851.3408661929,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.55,14227.4725685816,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.6,13534.2921713323,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.6,13923.8377501246,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.6,14457.1675233399,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.6,15018.0029823173,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.65,13748.3287609602,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.65,14355.005723704,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.65,15118.2613521376,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.65,15951.1677819878,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.7,14091.0198933711,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.7,14891.4821120518,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.7,15891.7868139602,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.7,16935.4906488596,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.75,14324.8012702149,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.75,15391.4316196719,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.75,16771.3808859903,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.75,18046.5832964138,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.8,14675.7358024292,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.8,16058.5491351423,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.8,17777.8825974561,"GM02"
