"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","point",NA,14.5851071468709,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","point",NA,20.7601473797752,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","point",NA,29.2643550056685,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","point",NA,39.1186430973703,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.01,5.87520116452125,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.01,8.21061746802673,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.01,8.9658457362316,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.01,9.94143652319589,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.025,6.34033541507581,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.025,9.72107400443646,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.025,10.4763022726413,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.025,12.9170273101602,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.05,7.09556368328067,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.05,11.1629515424633,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.05,12.6513425055456,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.05,15.3124300618239,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.1,7.80546966563036,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.1,12.6060202196904,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.1,15.3368392748596,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.1,18.1973762770778,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.15,8.51537564798006,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.15,13.6060202196904,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.15,16.7566512395589,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.15,20.372416509982,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.2,9.80546966563037,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.2,14.6060202196904,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.2,18.7566512395589,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.2,23.0823224923317,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.25,10.8054696656304,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.25,15.6060202196904,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.25,20.1764632042583,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.25,25.4568121711759,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.3,11.8054696656304,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.3,16.8507919514855,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.3,21.6660066678486,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.3,28.6562616171159,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.35,12.3403354150758,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.35,17.5606979338352,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.35,23.6206843819934,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.35,31.0760735818153,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.4,13.0502413974255,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.4,18.8054696656304,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.4,25.5753620961382,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.4,33.9854290101049,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.45,14.0502413974255,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.45,19.7601473797752,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.45,27.8201338279334,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.45,36.42965018784,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.5,14.5851071468709,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.5,20.7601473797752,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.5,29.2643550056685,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.5,39.1186430973703,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.55,15.5851071468709,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.55,22.2496908433655,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.55,31.7085761834036,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.55,43.2518571846356,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.6,16.1199728963164,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.6,23.4491402893054,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.6,33.3975690929338,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.6,47.4548027707918,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.65,17.3647446281115,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.65,24.9386837528957,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.65,36.086562002464,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.65,52.2770097675873,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.7,18.3194223422563,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.7,27.428227216486,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.7,39.0900581426803,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.7,57.4137199950689,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.75,19.5641940740515,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.75,29.6974081613168,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.75,43.2476814429813,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.75,65.8696593713453,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.8,20.8089658058466,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.8,32.1416293390519,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.8,47.8948482068726,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.8,74.2680718552487,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.85,22.0537375376418,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.85,35.0300716945221,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.85,54.2554170933298,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.85,89.6816986779097,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.9,23.7880527330271,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.9,38.942923263028,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.9,64.7282869942329,"PL72"
2021-10-18,"4 wk ahead inc death",2021-11-13,"PL72","quantile",0.9,114.617013827545,"PL72"
2021-10-18,"1 wk ahead inc death",2021-10-23,"PL72","quantile",0.95,26.6974081613168,"PL72"
2021-10-18,"2 wk ahead inc death",2021-10-30,"PL72","quantile",0.95,45.0099019916187,"PL72"
2021-10-18,"3 wk ahead inc death",2021-11-06,"PL72","quantile",0.95,81.9215512981345,"PL72"
