"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","point",NA,81.0421237563257,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","point",NA,108.85773564827,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","point",NA,158.167162240706,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","point",NA,227.336375985413,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.01,47.0786642770103,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.01,56.1590280012225,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.01,76.688517059953,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.01,71.9270426229415,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.025,51.6590636323363,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.025,65.418415303119,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.025,83.3665819305086,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.025,107.247473894959,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.05,55.8458560394069,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.05,71.8128939956444,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.05,97.3510893084351,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.05,128.031052400979,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.1,60.6480781450234,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.1,78.9079795525669,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.1,111.788871517017,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.1,151.465888984011,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.15,65.2100905844695,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.15,86.7693851276159,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.15,119.340331550374,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.15,162.738958030454,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.2,71.9071133901207,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.2,92.349784482942,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.2,125.822494371255,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.2,172.996910597486,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.25,73.3341154633617,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.25,95.0178679666234,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.25,131.081962697575,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.25,184.409884476197,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.3,74.5568099579222,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.3,97.4632569557444,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.3,137.826744822299,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.3,194.647706638809,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.35,75.9838120311632,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.35,99.6859514503049,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.35,144.348832452462,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.35,202.516946723648,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.4,77.7611175366027,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.4,102.335648018106,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.4,148.035302852024,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.4,210.44449853365,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.45,79.1881196098437,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.45,104.781037007227,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.45,153.499078757025,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.45,218.835826248653,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.5,81.0421237563257,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.5,108.85773564827,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.5,158.167162240706,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.5,227.336375985413,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.55,82.4691258295667,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.55,110.730126710632,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.55,162.503329208069,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.55,235.428310564813,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.6,84.7501320492898,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.6,112.952821205192,"GM01"
2021-10-25,"3 wk ahead inc death",2021-11-13,"GM01","quantile",0.6,168.043803754112,"GM01"
2021-10-25,"4 wk ahead inc death",2021-11-20,"GM01","quantile",0.6,243.742939638773,"GM01"
2021-10-25,"1 wk ahead inc death",2021-10-30,"GM01","quantile",0.65,86.5274375547293,"GM01"
2021-10-25,"2 wk ahead inc death",2021-11-06,"GM01","quantile",0.65,114.971208121072,"GM01"
