"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","point",NA,22.9218281361581,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","point",NA,31.4451797191145,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","point",NA,56.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","point",NA,92.5233515829565,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.01,5.12167198286123,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.01,8.00761723399191,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.01,27.5624375148774,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.01,14.7340157105451,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.025,5.4451797191145,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.025,9.68731254463223,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.025,31.1950392763628,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.025,16.0152344679838,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.05,7.80457034039514,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.05,12.6873125446322,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.05,34.5233515829564,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.05,60.7187812425613,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.1,11.8436562723161,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.1,17.7263984765532,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.1,39.5233515829564,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.1,67.3273601523447,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.15,13.5233515829564,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.15,20.4060937871935,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.15,43.5233515829564,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.15,71.9519542965961,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.2,15.2030468935968,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.2,21.4060937871935,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.2,46.2030468935968,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.2,77,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.25,16.2030468935968,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.25,23.4060937871935,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.25,47.5233515829565,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.25,79.6406093787194,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.3,17.8827422042371,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.3,25.0857890978339,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.3,49.5233515829564,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.3,82.5054320399905,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.35,18.8827422042371,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.35,26.0857890978339,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.35,50.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.35,84.5624375148774,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.4,20.2421328255177,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.4,28.0857890978339,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.4,52.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.4,87.8827422042371,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.45,21.9218281361581,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.45,29.7654844084742,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.45,54.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.45,90.2030468935968,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.5,22.9218281361581,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.5,31.4451797191145,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.5,56.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.5,92.5233515829565,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.55,23.7456605570103,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.55,32.4451797191145,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.55,58.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.55,94.8436562723161,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.6,25.2812187574387,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.6,34.1248750297548,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.6,60.1639609616758,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.6,96.4842656510355,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.65,26.2812187574387,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.65,35.1248750297548,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.65,62.1639609616758,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.65,98.916676981671,"PL72"
2021-11-01,"1 wk ahead inc death",2021-11-06,"PL72","quantile",0.7,27.960914068079,"PL72"
2021-11-01,"2 wk ahead inc death",2021-11-13,"PL72","quantile",0.7,36.8045703403951,"PL72"
2021-11-01,"3 wk ahead inc death",2021-11-20,"PL72","quantile",0.7,63.8436562723161,"PL72"
2021-11-01,"4 wk ahead inc death",2021-11-27,"PL72","quantile",0.7,100.765484408474,"PL72"
