"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","point",NA,190.25,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","point",NA,228.875,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","point",NA,273.5,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","point",NA,326.625,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.01,123,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.01,144,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.01,152.735,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.01,163.48,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.025,132.49375,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.025,153.75,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.025,167.23125,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.025,186.2375,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.05,142,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.05,165.4875,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.05,181.25,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.05,205.25,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.1,151,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.1,177,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.1,200.25,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.1,231.45,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.15,157.75,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.15,185.5,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.15,211.25,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.15,247.4625,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.2,162.45,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.2,192.5,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.2,220.5,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.2,260.2,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.25,167,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.25,198.25,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.25,229.75,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.25,274.9375,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.3,171.25,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.3,203.75,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.3,238.675,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.3,285.175,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.35,176.5,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.35,211.5,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.35,246.4125,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.35,295.075,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.4,182.25,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.4,218,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.4,255,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.4,305.5,"PL72"
2021-03-29,"1 wk ahead inc death",2021-04-03,"PL72","quantile",0.45,187,"PL72"
2021-03-29,"2 wk ahead inc death",2021-04-10,"PL72","quantile",0.45,223.5,"PL72"
2021-03-29,"3 wk ahead inc death",2021-04-17,"PL72","quantile",0.45,264.25,"PL72"
2021-03-29,"4 wk ahead inc death",2021-04-24,"PL72","quantile",0.45,316.1375,"PL72"
