"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","point",NA,172.034845520663,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","point",NA,178.38775462088,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","point",NA,179.422256646488,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","point",NA,178.184197730209,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.01,119.49195000091,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.01,114.977136017515,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.01,101.499119233534,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.01,74.5116991011025,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.025,127.294872257607,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.025,122.383581489607,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.025,110.496343133424,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.025,84.9574351998849,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.05,132.147655463792,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.05,129.10247111253,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.05,119.550377363062,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.05,96.7713071745575,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.1,140.625401858495,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.1,136.709030201663,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.1,128.771240938913,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.1,111.592987993935,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.15,146.533356851596,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.15,144.433101228111,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.15,137.156213212898,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.15,123.005455546255,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.2,150.763074630234,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.2,150.366651918613,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.2,145.467770813776,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.2,131.025676663875,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.25,154.616097111052,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.25,155.852012806961,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.25,151.455088198628,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.25,138.963875669733,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.3,158.469119591871,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.3,160.483346580714,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.3,157.45934743112,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.3,146.236456986182,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.35,161.675532668328,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.35,165.26558545339,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.35,163.142668619265,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.35,153.10465599204,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.4,164.86862877211,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.4,169.275878555254,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.4,168.194451222997,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.4,161.600046153193,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.45,168.063389497477,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.45,173.795651321172,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.45,173.210005020582,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.45,170.919818624937,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.5,172.034845520663,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.5,178.38775462088,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.5,179.422256646488,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.5,178.184197730209,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.55,175.081332220084,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.55,183.759473157611,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.55,185.22486479314,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.55,185.914194524891,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.6,178.739471270596,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.6,188.705988334889,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.6,191.695240330352,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.6,193.52216920781,"GM01"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","quantile",0.65,183.082628726848,"GM01"
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","quantile",0.65,195.222254322159,"GM01"
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","quantile",0.65,199.637379454831,"GM01"
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","quantile",0.65,201.949581480726,"GM01"
