"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","point",NA,67941.45,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","point",NA,74991.05,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","point",NA,82812.525,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","point",NA,91796.925,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.01,57171.645,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.01,55948.885,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.01,54195.5125,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.01,52540.4925,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.025,59023.8375,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.025,58979.19375,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.025,58442.10625,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.025,57511.84375,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.05,60325.7625,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.05,61213.9875,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.05,61689.225,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.05,61907.9125,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.1,62014.7,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.1,63988.275,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.1,65610.15,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.1,66986.275,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.15,63345.2875,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.15,65930.125,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.15,68348.9,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.15,71046.9875,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.2,64206.225,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.2,67550.675,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.2,70714.5,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.2,73980.95,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.25,65012.8,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.25,69089.5875,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.25,73264.525,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.25,77878.8375,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.3,65554.325,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.3,70290.025,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.3,75082.6,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.3,80281.775,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.35,66187.775,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.35,71524.9,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.35,77170.575,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.35,83068.0375,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.4,66829.075,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.4,72765.2,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.4,79093.925,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.4,86164.525,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.45,67326.45,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.45,73804.4375,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.45,80945.075,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.45,88765.2,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.5,67941.45,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.5,74991.05,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.5,82812.525,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.5,91796.925,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.55,68523.85,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.55,76056.1375,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.55,84482.3,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.55,94290.65,"GM01"
2021-12-06,"1 wk ahead inc case",2021-12-11,"GM01","quantile",0.6,69016.325,"GM01"
2021-12-06,"2 wk ahead inc case",2021-12-18,"GM01","quantile",0.6,77076,"GM01"
2021-12-06,"3 wk ahead inc case",2021-12-25,"GM01","quantile",0.6,86019.625,"GM01"
2021-12-06,"4 wk ahead inc case",2022-01-01,"GM01","quantile",0.6,96739.875,"GM01"
