"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","point",NA,191,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","point",NA,219,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","point",NA,243,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","point",NA,271,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.01,137,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.01,134,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.01,120,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.01,106,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.025,140,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.025,136,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.025,127,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.025,122,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.05,144,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.05,141,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.05,139,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.05,131,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.1,151,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.1,151,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.1,149,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.1,151,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.15,156,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.15,160,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.15,164.9,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.15,167,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.2,161,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.2,170,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.2,178,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.2,187,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.25,165,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.25,178,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.25,191,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.25,202.8,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.3,172,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.3,186,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.3,200,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.3,214,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.35,178,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.35,197,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.35,212,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.35,226,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.4,182,"GM01"
2021-04-26,"2 wk ahead inc death",2021-05-08,"GM01","quantile",0.4,204,"GM01"
2021-04-26,"3 wk ahead inc death",2021-05-15,"GM01","quantile",0.4,224,"GM01"
2021-04-26,"4 wk ahead inc death",2021-05-22,"GM01","quantile",0.4,241,"GM01"
2021-04-26,"1 wk ahead inc death",2021-05-01,"GM01","quantile",0.45,187,"GM01"
