"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","point",NA,151,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","point",NA,84,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","point",NA,62,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","point",NA,48,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.01,93,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","quantile",0.01,46,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","quantile",0.01,25.99,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","quantile",0.01,12,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.025,102,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","quantile",0.025,50,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","quantile",0.025,29,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","quantile",0.025,15,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.05,109,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","quantile",0.05,53,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","quantile",0.05,31,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","quantile",0.05,17,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.1,119,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","quantile",0.1,56,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","quantile",0.1,34,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","quantile",0.1,20,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.15,122,"PL72"
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","quantile",0.15,58,"PL72"
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","quantile",0.15,36,"PL72"
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","quantile",0.15,22,"PL72"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","quantile",0.2,133,"PL72"
