"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","point",NA,11962.1031084801,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","point",NA,12855.5667790246,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","point",NA,13893.3271732434,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","point",NA,15296.106467322,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.01,7794,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.01,5292,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.01,2926,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.01,1722,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.025,8184,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.025,5518,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.025,3272,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.025,1906,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.05,9404,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.05,5943,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.05,3707,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.05,2396,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.1,9916.68110146116,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.1,6759,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.1,5113,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.1,3741,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.15,10220.304243137,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.15,8620,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.15,6170,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.15,5048,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.2,10491.2157086502,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.2,8835,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.2,7613,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.2,6396,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.25,11102,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.25,10001,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.25,8878,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.25,7678,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.3,11419,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.3,11135.699790215,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.3,10194,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.3,9081,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.35,11506,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.35,11547.5911805742,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.35,11592,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.35,10856,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.4,11558,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.4,11935.3287695808,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.4,12457.1489289309,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.4,12704,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.45,11744.5182279917,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.45,12349.7756197384,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.45,13236.4270264866,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.45,14338.1700964577,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.5,11962.1031084801,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.5,12855.5667790246,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.5,13893.3271732434,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.5,15296.106467322,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.55,12773,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.55,13277.824317688,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.55,14501.1400456731,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.55,16205.1614443519,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.6,12886,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.6,13721.1534646511,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.6,15237.6128516677,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.6,16791,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.65,12890,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.65,14152.3265644994,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.65,15827,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.65,17402,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.7,12914,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.7,14647,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.7,16208,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.7,17923,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.75,13082.6322974005,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.75,14930,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.75,16714,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.75,18723,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.8,13306,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.8,15492,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.8,17576,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.8,19932,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.85,13974,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.85,16058,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.85,18475,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.85,21275,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.9,14417,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.9,16911,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.9,19806,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.9,23262,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.95,15075,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.95,18169,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.95,21923,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.95,26425,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.975,15671,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.975,19475,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.975,24259,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.975,30198,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM01","quantile",0.99,16789,"GM01"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM01","quantile",0.99,21402,"GM01"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM01","quantile",0.99,27626,"GM01"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM01","quantile",0.99,34909.2528875297,"GM01"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","point",NA,13453,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","point",NA,12788,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","point",NA,12784,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","point",NA,12728,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.01,9403,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.01,5465.33331358458,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.01,3627.13258974211,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.01,2530.20636032354,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.025,9627,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.025,6465,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.025,4277.69568263273,"GM02"
2021-09-20,"4 wk ahead inc case",2021-10-16,"GM02","quantile",0.025,3075.58785361529,"GM02"
2021-09-20,"1 wk ahead inc case",2021-09-25,"GM02","quantile",0.05,9881,"GM02"
2021-09-20,"2 wk ahead inc case",2021-10-02,"GM02","quantile",0.05,7443,"GM02"
2021-09-20,"3 wk ahead inc case",2021-10-09,"GM02","quantile",0.05,5031.12504043932,"GM02"
