"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","point",NA,421,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","point",NA,553,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","point",NA,679.5,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","point",NA,874.5,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.01,169,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.01,144,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.01,197,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.01,323,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.025,209,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.025,219,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.025,213,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.025,376,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.05,224,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.05,280,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.05,239,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.05,392,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.1,268,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.1,307,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.1,288,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.1,450,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.15,308,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.15,339,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.15,358,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.15,513,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.2,318,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.2,380,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.2,440,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.2,603,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.25,333,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.25,394,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.25,474,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.25,653,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.3,348,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.3,412,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.3,505,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.3,696,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.35,372,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.35,431,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.35,530,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.35,739,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.4,397,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.4,458.6,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.4,570,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.4,787,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.45,412,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.45,503.55,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.45,618,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.45,837,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.5,421,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.5,553,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.5,679.5,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.5,874.5,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.55,431,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.55,598.45,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.55,779.45,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.55,1030.35,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.6,441,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.6,661,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.6,865,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.6,1158.2,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.65,450,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.65,704,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.65,981.35,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.65,1317.4,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.7,461,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.7,729,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.7,1070,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.7,1462,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.75,476,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.75,763,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.75,1172.75,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.75,1595,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.8,496,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.8,798,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.8,1260,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.8,1787.2,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.85,520,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.85,835,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.85,1353.15,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.85,1973.6,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.9,562,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.9,880,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.9,1492.7,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.9,2294.1,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.95,619,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.95,947,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.95,1711,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.95,2789.4,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.975,644,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.975,991,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.975,1826,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.975,3336.9,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL72","quantile",0.99,726,"PL72"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL72","quantile",0.99,1020,"PL72"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL72","quantile",0.99,1911,"PL72"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL72","quantile",0.99,3692,"PL72"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL73","point",NA,174,"PL73"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL73","point",NA,218,"PL73"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL73","point",NA,285,"PL73"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL73","point",NA,370,"PL73"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL73","quantile",0.01,54,"PL73"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL73","quantile",0.01,66,"PL73"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL73","quantile",0.01,10,"PL73"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL73","quantile",0.01,101,"PL73"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL73","quantile",0.025,89,"PL73"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL73","quantile",0.025,99,"PL73"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL73","quantile",0.025,56,"PL73"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL73","quantile",0.025,120,"PL73"
2021-09-20,"1 wk ahead inc case",2021-09-25,"PL73","quantile",0.05,99,"PL73"
2021-09-20,"2 wk ahead inc case",2021-10-02,"PL73","quantile",0.05,132,"PL73"
2021-09-20,"3 wk ahead inc case",2021-10-09,"PL73","quantile",0.05,99,"PL73"
2021-09-20,"4 wk ahead inc case",2021-10-16,"PL73","quantile",0.05,149,"PL73"
