"location","forecast_date","target_end_date","target","type","quantile","value"
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.01,1862
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.025,2126
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.05,2354
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.1,2622
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.15,2810
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.2,2963
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.25,3098
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.3,3226
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.35,3347
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.4,3466
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.45,3583
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.5,3703
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.55,3828
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.6,3962
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.65,4105
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.7,4260
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.75,4439
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.8,4651
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.85,4916
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.9,5290
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.95,5921
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.975,6579
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","quantile",0.99,7516
"GM","2021-07-05","2021-07-10","1 wk ahead inc case","point",NA,3703
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.01,1067
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.025,1332
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.05,1586
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.1,1932
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.15,2196
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.2,2424
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.25,2642
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.3,2852
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.35,3063
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.4,3275
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.45,3498
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.5,3734
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.55,3986
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.6,4261
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.65,4564
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.7,4914
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.75,5325
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.8,5840
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.85,6512
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.9,7518
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.95,9383
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.975,11553
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","quantile",0.99,14764
"GM","2021-07-05","2021-07-17","2 wk ahead inc case","point",NA,3734
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.01,581
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.025,810
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.05,1057
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.1,1417
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.15,1723
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.2,2012
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.25,2290
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.3,2576
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.35,2870
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.4,3183
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.45,3521
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.5,3886
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.55,4296
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.6,4762
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.65,5295
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.7,5929
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.75,6718
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.8,7743
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.85,9196
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.9,11460
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.95,16224
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.975,22301
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","quantile",0.99,33132
"GM","2021-07-05","2021-07-24","3 wk ahead inc case","point",NA,3886
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.01,298
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.025,474
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.05,686
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.1,1028
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.15,1350
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.2,1663
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.25,1991
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.3,2333
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.35,2712
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.4,3129
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.45,3592
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.5,4119
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.55,4729
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.6,5449
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.65,6313
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.7,7382
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.75,8760
"GM","2021-07-05","2021-07-31","4 wk ahead inc case","quantile",0.8,10662
