forecast_date,target,target_end_date,location,type,quantile,value
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,point,NA,185.4
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.010,103.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.025,113.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.050,120.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.100,131.9
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.150,140.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.200,146.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.250,152.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.300,158.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.350,164.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.400,170.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.450,175.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.500,182.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.550,189.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.600,194.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.650,201.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.700,207.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.750,214.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.800,223.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.850,234.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.900,250.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.950,268.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.975,288.0
2021-04-18,1 wk ahead inc death,2021-04-24,GM01,quantile,0.990,320.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,point,NA,209.3
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.010,100.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.025,109.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.050,119.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.100,134.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.150,144.9
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.200,154.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.250,162.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.300,172.7
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.350,178.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.400,187.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.450,195.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.500,206.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.550,214.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.600,220.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.650,230.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.700,240.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.750,251.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.800,263.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.850,282.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.900,302.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.950,328.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.975,355.0
2021-04-18,2 wk ahead inc death,2021-05-01,GM01,quantile,0.990,400.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,point,NA,230.6
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.010,96.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.025,107.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.050,121.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.100,136.9
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.150,149.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.200,164.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.250,176.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.300,185.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.350,197.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.400,205.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.450,215.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.500,224.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.550,233.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.600,244.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.650,256.4
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.700,269.3
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.750,285.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.800,301.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.850,319.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.900,348.1
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.950,390.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.975,427.0
2021-04-18,3 wk ahead inc death,2021-05-08,GM01,quantile,0.990,477.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,point,NA,250.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.010,92.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.025,110.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.050,122.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.100,136.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.150,152.9
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.200,170.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.250,184.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.300,197.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.350,207.6
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.400,218.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.450,231.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.500,242.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.550,258.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.600,272.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.650,285.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.700,300.3
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.750,320.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.800,341.0
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.850,362.2
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.900,394.1
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.950,457.1
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.975,509.1
2021-04-18,4 wk ahead inc death,2021-05-15,GM01,quantile,0.990,599.1
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,point,NA,9232.4
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.010,9150.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.025,9160.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.050,9167.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.100,9178.9
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.150,9187.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.200,9193.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.250,9199.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.300,9205.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.350,9211.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.400,9217.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.450,9222.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.500,9229.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.550,9236.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.600,9241.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.650,9248.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.700,9254.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.750,9261.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.800,9270.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.850,9281.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.900,9297.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.950,9315.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.975,9335.0
2021-04-18,1 wk ahead cum death,2021-04-24,GM01,quantile,0.990,9367.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,point,NA,9441.8
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.010,9254.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.025,9269.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.050,9291.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.100,9313.9
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.150,9333.9
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.200,9346.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.250,9362.8
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.300,9380.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.350,9394.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.400,9403.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.450,9419.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.500,9433.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.550,9446.5
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.600,9464.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.650,9477.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.700,9492.3
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.750,9515.2
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.800,9532.2
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.850,9557.5
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.900,9594.0
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.950,9634.3
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.975,9687.1
2021-04-18,2 wk ahead cum death,2021-05-01,GM01,quantile,0.990,9767.1
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,point,NA,9672.3
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.010,9352.9
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.025,9378.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.050,9412.9
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.100,9452.8
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.150,9485.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.200,9512.8
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.250,9539.8
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.300,9568.7
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.350,9588.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.400,9610.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.450,9634.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.500,9654.5
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.550,9678.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.600,9707.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.650,9739.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.700,9767.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.750,9795.5
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.800,9830.4
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.850,9876.3
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.900,9943.2
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.950,10024.0
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.975,10114.2
2021-04-18,3 wk ahead cum death,2021-05-08,GM01,quantile,0.990,10243.1
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,point,NA,9922.4
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.010,9448.0
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.025,9487.9
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.050,9538.0
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.100,9596.9
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.150,9641.8
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.200,9680.4
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.250,9730.0
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.300,9765.7
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.350,9801.0
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.400,9832.0
2021-04-18,4 wk ahead cum death,2021-05-15,GM01,quantile,0.450,9866.0
