forecast_date,target,target_end_date,location,type,quantile,value
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,point,NA,14330.7
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.010,8831.0
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.025,9447.3
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.050,10231.9
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.100,11189.8
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.150,11757.2
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.200,12182.8
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.250,12528.5
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.300,13009.4
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.350,13392.9
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.400,13663.0
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.450,14037.0
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.500,14428.0
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.550,14819.5
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.600,15337.0
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.650,15758.9
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.700,16184.2
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.750,16667.5
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.800,17337.6
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.850,18093.2
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.900,18944.3
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.950,20289.4
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.975,21708.5
2021-05-09,1 wk ahead inc case,2021-05-15,GM01,quantile,0.990,23217.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,point,NA,11698.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.010,6666.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.025,7467.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.050,7929.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.100,8586.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.150,9155.2
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.200,9616.6
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.250,9952.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.300,10427.6
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.350,10820.3
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.400,11334.2
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.450,11697.1
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.500,12056.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.550,12367.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.600,12774.0
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.650,13205.7
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.700,13643.7
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.750,14159.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.800,14757.4
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.850,15472.5
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.900,16403.1
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.950,17523.0
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.975,19124.8
2021-05-09,2 wk ahead inc case,2021-05-22,GM01,quantile,0.990,20761.1
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,point,NA,9243.2
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.010,4680.8
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.025,5249.9
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.050,5750.5
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.100,6422.6
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.150,6984.9
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.200,7431.6
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.250,7847.8
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.300,8084.1
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.350,8372.5
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.400,8674.2
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.450,9075.3
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.500,9473.5
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.550,9871.3
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.600,10225.4
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.650,10596.4
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.700,10973.0
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.750,11624.8
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.800,12140.8
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.850,12817.1
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.900,13495.4
2021-05-09,3 wk ahead inc case,2021-05-29,GM01,quantile,0.950,14807.4
