"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","point",NA,19951
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.01,13748
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.025,14416
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.05,15360
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.1,16188
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.15,16924
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.2,17433
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.25,17848
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.3,18266
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.35,18666
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.4,19054
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.45,19531
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.5,19952
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.55,20393
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.6,20792
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.65,21198
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.7,21727
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.75,22283
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.8,22904
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.85,23521
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.9,24360
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.95,25770
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.975,27016
"2021-08-01","1 wk ahead inc case","2021-08-07","GM","quantile",0.99,28354
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","point",NA,26055
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.01,16119
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.025,17422
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.05,18691
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.1,20037
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.15,21245
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.2,21970
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.25,22639
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.3,23227
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.35,23974
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.4,24663
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.45,25307
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.5,26029
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.55,26742
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.6,27445
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.65,28179
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.7,29134
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.75,30045
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.8,30948
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.85,32053
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.9,33555
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.95,36249
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.975,38060
"2021-08-01","2 wk ahead inc case","2021-08-14","GM","quantile",0.99,40171
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","point",NA,33163
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.01,18850
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.025,20540
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.05,22324
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.1,24193
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.15,25910
"2021-08-01","3 wk ahead inc case","2021-08-21","GM","quantile",0.2,27009
