"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","point",NA,1858
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.01,948
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.025,1052
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.05,1141
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.1,1276
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.15,1376
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.2,1450
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.25,1516
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.3,1588
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.35,1649
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.4,1712
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.45,1786
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.5,1841
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.55,1905
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.6,1985
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.65,2046
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.7,2127
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.75,2257
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.8,2358
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.85,2442
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.9,2645
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.95,2970
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.975,3216
"2021-08-29","1 wk ahead inc case","2021-09-04","PL","quantile",0.99,3658
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","point",NA,2133
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.01,1064
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.025,1176
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.05,1260
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.1,1443
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.15,1549
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.2,1630
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.25,1723
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.3,1803
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.35,1886
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.4,1959
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.45,2040
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.5,2110
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.55,2191
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.6,2270
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.65,2377
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.7,2500
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.75,2618
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.8,2739
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.85,2873
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.9,3109
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.95,3504
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.975,3759
"2021-08-29","2 wk ahead inc case","2021-09-11","PL","quantile",0.99,4395
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","point",NA,2434
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.01,1135
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.025,1274
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.05,1399
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.1,1596
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.15,1742
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.2,1830
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.25,1939
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.3,2034
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.35,2124
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.4,2221
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.45,2335
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.5,2428
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.55,2493
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.6,2605
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.65,2715
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.7,2852
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.75,3007
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.8,3169
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.85,3342
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.9,3634
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.95,4111
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.975,4493
"2021-08-29","3 wk ahead inc case","2021-09-18","PL","quantile",0.99,5263
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","point",NA,2762
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.01,1266
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.025,1405
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.05,1542
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.1,1775
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.15,1939
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.2,2046
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.25,2166
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.3,2289
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.35,2399
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.4,2501
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.45,2633
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.5,2752
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.55,2840
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.6,2960
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.65,3105
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.7,3271
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.75,3451
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.8,3668
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.85,3871
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.9,4204
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.95,4852
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.975,5228
"2021-08-29","4 wk ahead inc case","2021-09-25","PL","quantile",0.99,6200
