"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","point",NA,272
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.01,90
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.025,114
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.05,130
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.1,155
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.15,171
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.2,189
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.25,197
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.3,211
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.35,225
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.4,235
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.45,248
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.5,260
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.55,275
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.6,291
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.65,308
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.7,324
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.75,341
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.8,364
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.85,400
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.9,428
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.95,510
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.975,554
"2021-09-05","1 wk ahead inc death","2021-09-11","GM","quantile",0.99,623
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","point",NA,357
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.01,115
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.025,140
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.05,164
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.1,199
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.15,219
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.2,235
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.25,253
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.3,270
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.35,285
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.4,302
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.45,318
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.5,336
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.55,356
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.6,377
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.65,395
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.7,422
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.75,455
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.8,486
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.85,526
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.9,581
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.95,693
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.975,804
"2021-09-05","2 wk ahead inc death","2021-09-18","GM","quantile",0.99,872
"2021-09-05","3 wk ahead inc death","2021-09-25","GM","point",NA,463
"2021-09-05","3 wk ahead inc death","2021-09-25","GM","quantile",0.01,143
"2021-09-05","3 wk ahead inc death","2021-09-25","GM","quantile",0.025,167
"2021-09-05","3 wk ahead inc death","2021-09-25","GM","quantile",0.05,199
"2021-09-05","3 wk ahead inc death","2021-09-25","GM","quantile",0.1,234
