"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","point",NA,79
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.01,41
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.025,46
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.05,50
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.1,55
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.15,59
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.2,62
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.25,65
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.3,68
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.35,71
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.4,73
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.45,75
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.5,78
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.55,80
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.6,83
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.65,85
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.7,87
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.75,90
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.8,93
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.85,97
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.9,103
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.95,112
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.975,121
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.99,130
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","point",NA,109
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.01,49
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.025,59
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.05,67
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.1,74
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.15,80
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.2,84
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.25,88
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.3,92
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.35,97
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.4,100
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.45,104
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.5,108
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.55,110
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.6,114
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.65,118
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.7,121
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.75,126
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.8,132
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.85,140
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.9,148
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.95,160
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.975,170
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.99,192
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","point",NA,152
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.01,67
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.025,81
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.05,91
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.1,100
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.15,109
