forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-24,1 day ahead cum case,2021-03-25,PL,quantile,0.01,2139753.52,Poland
2021-03-24,2 day ahead cum case,2021-03-26,PL,quantile,0.01,2157967.89,Poland
2021-03-24,3 day ahead cum case,2021-03-27,PL,quantile,0.01,2176199.42,Poland
2021-03-24,4 day ahead cum case,2021-03-28,PL,quantile,0.01,2191342.48,Poland
2021-03-24,5 day ahead cum case,2021-03-29,PL,quantile,0.01,2198009.28,Poland
2021-03-24,6 day ahead cum case,2021-03-30,PL,quantile,0.01,2208817.11,Poland
2021-03-24,7 day ahead cum case,2021-03-31,PL,quantile,0.01,2232827.29,Poland
2021-03-24,8 day ahead cum case,2021-04-01,PL,quantile,0.01,2256097.74,Poland
2021-03-24,9 day ahead cum case,2021-04-02,PL,quantile,0.01,2279941.1,Poland
2021-03-24,10 day ahead cum case,2021-04-03,PL,quantile,0.01,2301150.9,Poland
2021-03-24,11 day ahead cum case,2021-04-04,PL,quantile,0.01,2319314.34,Poland
2021-03-24,12 day ahead cum case,2021-04-05,PL,quantile,0.01,2327964.86,Poland
2021-03-24,13 day ahead cum case,2021-04-06,PL,quantile,0.01,2341175.56,Poland
2021-03-24,14 day ahead cum case,2021-04-07,PL,quantile,0.01,2365036.68,Poland
2021-03-24,15 day ahead cum case,2021-04-08,PL,quantile,0.01,2387528.46,Poland
2021-03-24,16 day ahead cum case,2021-04-09,PL,quantile,0.01,2409592.33,Poland
2021-03-24,17 day ahead cum case,2021-04-10,PL,quantile,0.01,2429881.1,Poland
2021-03-24,18 day ahead cum case,2021-04-11,PL,quantile,0.01,2444834.32,Poland
2021-03-24,19 day ahead cum case,2021-04-12,PL,quantile,0.01,2451575.52,Poland
2021-03-24,20 day ahead cum case,2021-04-13,PL,quantile,0.01,2461243.47,Poland
2021-03-24,21 day ahead cum case,2021-04-14,PL,quantile,0.01,2480009.83,Poland
2021-03-24,22 day ahead cum case,2021-04-15,PL,quantile,0.01,2500071.19,Poland
2021-03-24,23 day ahead cum case,2021-04-16,PL,quantile,0.01,2518065.5,Poland
2021-03-24,24 day ahead cum case,2021-04-17,PL,quantile,0.01,2534581.95,Poland
2021-03-24,25 day ahead cum case,2021-04-18,PL,quantile,0.01,2547789.92,Poland
2021-03-24,26 day ahead cum case,2021-04-19,PL,quantile,0.01,2554296.21,Poland
