forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-24,1 day ahead cum death,2021-03-25,PL,quantile,0.01,50690,Poland
2021-03-24,2 day ahead cum death,2021-03-26,PL,quantile,0.01,51053.99,Poland
2021-03-24,3 day ahead cum death,2021-03-27,PL,quantile,0.01,51424,Poland
2021-03-24,4 day ahead cum death,2021-03-28,PL,quantile,0.01,51580,Poland
2021-03-24,5 day ahead cum death,2021-03-29,PL,quantile,0.01,51630.99,Poland
2021-03-24,6 day ahead cum death,2021-03-30,PL,quantile,0.01,51988.98,Poland
2021-03-24,7 day ahead cum death,2021-03-31,PL,quantile,0.01,52452,Poland
2021-03-24,8 day ahead cum death,2021-04-01,PL,quantile,0.01,52839.99,Poland
2021-03-24,9 day ahead cum death,2021-04-02,PL,quantile,0.01,53217.92,Poland
2021-03-24,10 day ahead cum death,2021-04-03,PL,quantile,0.01,53579.97,Poland
2021-03-24,11 day ahead cum death,2021-04-04,PL,quantile,0.01,53745.74,Poland
2021-03-24,12 day ahead cum death,2021-04-05,PL,quantile,0.01,53794.91,Poland
2021-03-24,13 day ahead cum death,2021-04-06,PL,quantile,0.01,54129.99,Poland
2021-03-24,14 day ahead cum death,2021-04-07,PL,quantile,0.01,54593.92,Poland
2021-03-24,15 day ahead cum death,2021-04-08,PL,quantile,0.01,54959.87,Poland
2021-03-24,16 day ahead cum death,2021-04-09,PL,quantile,0.01,55296.95,Poland
2021-03-24,17 day ahead cum death,2021-04-10,PL,quantile,0.01,55612.92,Poland
2021-03-24,18 day ahead cum death,2021-04-11,PL,quantile,0.01,55717.96,Poland
2021-03-24,19 day ahead cum death,2021-04-12,PL,quantile,0.01,55753.97,Poland
2021-03-24,20 day ahead cum death,2021-04-13,PL,quantile,0.01,56053.89,Poland
2021-03-24,21 day ahead cum death,2021-04-14,PL,quantile,0.01,56409,Poland
2021-03-24,22 day ahead cum death,2021-04-15,PL,quantile,0.01,56726.9,Poland
2021-03-24,23 day ahead cum death,2021-04-16,PL,quantile,0.01,57001.95,Poland
2021-03-24,24 day ahead cum death,2021-04-17,PL,quantile,0.01,57236,Poland
2021-03-24,25 day ahead cum death,2021-04-18,PL,quantile,0.01,57342.79,Poland
2021-03-24,26 day ahead cum death,2021-04-19,PL,quantile,0.01,57376.99,Poland
2021-03-24,27 day ahead cum death,2021-04-20,PL,quantile,0.01,57601.86,Poland
2021-03-24,28 day ahead cum death,2021-04-21,PL,quantile,0.01,57895.69,Poland
2021-03-24,29 day ahead cum death,2021-04-22,PL,quantile,0.01,58114.99,Poland
2021-03-24,30 day ahead cum death,2021-04-23,PL,quantile,0.01,58331.97,Poland
2021-03-24,31 day ahead cum death,2021-04-24,PL,quantile,0.01,58487.87,Poland
2021-03-24,32 day ahead cum death,2021-04-25,PL,quantile,0.01,58587.66,Poland
2021-03-24,33 day ahead cum death,2021-04-26,PL,quantile,0.01,58624.9,Poland
2021-03-24,34 day ahead cum death,2021-04-27,PL,quantile,0.01,58792.7,Poland
2021-03-24,35 day ahead cum death,2021-04-28,PL,quantile,0.01,58954.99,Poland
2021-03-24,36 day ahead cum death,2021-04-29,PL,quantile,0.01,59109.92,Poland
2021-03-24,37 day ahead cum death,2021-04-30,PL,quantile,0.01,59294.96,Poland
2021-03-24,38 day ahead cum death,2021-05-01,PL,quantile,0.01,59441.96,Poland
2021-03-24,39 day ahead cum death,2021-05-02,PL,quantile,0.01,59502.95,Poland
2021-03-24,40 day ahead cum death,2021-05-03,PL,quantile,0.01,59519,Poland
2021-03-24,41 day ahead cum death,2021-05-04,PL,quantile,0.01,59632.93,Poland
2021-03-24,42 day ahead cum death,2021-05-05,PL,quantile,0.01,59803.93,Poland
2021-03-24,43 day ahead cum death,2021-05-06,PL,quantile,0.01,59929.88,Poland
2021-03-24,44 day ahead cum death,2021-05-07,PL,quantile,0.01,60035.9,Poland
2021-03-24,45 day ahead cum death,2021-05-08,PL,quantile,0.01,60165.7,Poland
2021-03-24,46 day ahead cum death,2021-05-09,PL,quantile,0.01,60241.66,Poland
2021-03-24,47 day ahead cum death,2021-05-10,PL,quantile,0.01,60305.34,Poland
2021-03-24,48 day ahead cum death,2021-05-11,PL,quantile,0.01,60375.57,Poland
2021-03-24,1 day ahead cum death,2021-03-25,PL,quantile,0.025,50724,Poland
