forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-28,1 day ahead cum case,2021-03-29,GM,quantile,0.01,2785063.96,Germany
2021-03-28,2 day ahead cum case,2021-03-30,GM,quantile,0.01,2790261.49,Germany
2021-03-28,3 day ahead cum case,2021-03-31,GM,quantile,0.01,2792616.29,Germany
2021-03-28,4 day ahead cum case,2021-04-01,GM,quantile,0.01,2800140.74,Germany
2021-03-28,5 day ahead cum case,2021-04-02,GM,quantile,0.01,2804491.3,Germany
2021-03-28,6 day ahead cum case,2021-04-03,GM,quantile,0.01,2807700.96,Germany
2021-03-28,7 day ahead cum case,2021-04-04,GM,quantile,0.01,2810360.27,Germany
2021-03-28,8 day ahead cum case,2021-04-05,GM,quantile,0.01,2810854.85,Germany
2021-03-28,9 day ahead cum case,2021-04-06,GM,quantile,0.01,2817636.98,Germany
2021-03-28,10 day ahead cum case,2021-04-07,GM,quantile,0.01,2820347.56,Germany
2021-03-28,11 day ahead cum case,2021-04-08,GM,quantile,0.01,2828987.75,Germany
2021-03-28,12 day ahead cum case,2021-04-09,GM,quantile,0.01,2833317.73,Germany
2021-03-28,13 day ahead cum case,2021-04-10,GM,quantile,0.01,2836666.28,Germany
2021-03-28,14 day ahead cum case,2021-04-11,GM,quantile,0.01,2839878.16,Germany
2021-03-28,15 day ahead cum case,2021-04-12,GM,quantile,0.01,2840716.35,Germany
2021-03-28,16 day ahead cum case,2021-04-13,GM,quantile,0.01,2846705.23,Germany
2021-03-28,17 day ahead cum case,2021-04-14,GM,quantile,0.01,2849246.41,Germany
2021-03-28,18 day ahead cum case,2021-04-15,GM,quantile,0.01,2856415.35,Germany
2021-03-28,19 day ahead cum case,2021-04-16,GM,quantile,0.01,2861893.7,Germany
2021-03-28,20 day ahead cum case,2021-04-17,GM,quantile,0.01,2864970.63,Germany
2021-03-28,21 day ahead cum case,2021-04-18,GM,quantile,0.01,2867661.38,Germany
2021-03-28,22 day ahead cum case,2021-04-19,GM,quantile,0.01,2868738.56,Germany
2021-03-28,23 day ahead cum case,2021-04-20,GM,quantile,0.01,2874103.58,Germany
2021-03-28,24 day ahead cum case,2021-04-21,GM,quantile,0.01,2875972.85,Germany
