forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-03-28,1 day ahead cum death,2021-03-29,GM,quantile,0.01,76001.99,Germany
2021-03-28,2 day ahead cum death,2021-03-30,GM,quantile,0.01,76048.96,Germany
2021-03-28,3 day ahead cum death,2021-03-31,GM,quantile,0.01,76094.96,Germany
2021-03-28,4 day ahead cum death,2021-04-01,GM,quantile,0.01,76141.97,Germany
2021-03-28,5 day ahead cum death,2021-04-02,GM,quantile,0.01,76188.99,Germany
2021-03-28,6 day ahead cum death,2021-04-03,GM,quantile,0.01,76237.97,Germany
2021-03-28,7 day ahead cum death,2021-04-04,GM,quantile,0.01,76272,Germany
2021-03-28,8 day ahead cum death,2021-04-05,GM,quantile,0.01,76320,Germany
2021-03-28,9 day ahead cum death,2021-04-06,GM,quantile,0.01,76371,Germany
2021-03-28,10 day ahead cum death,2021-04-07,GM,quantile,0.01,76421.98,Germany
2021-03-28,11 day ahead cum death,2021-04-08,GM,quantile,0.01,76475.99,Germany
2021-03-28,12 day ahead cum death,2021-04-09,GM,quantile,0.01,76531.99,Germany
2021-03-28,13 day ahead cum death,2021-04-10,GM,quantile,0.01,76589.97,Germany
2021-03-28,14 day ahead cum death,2021-04-11,GM,quantile,0.01,76622.91,Germany
2021-03-28,15 day ahead cum death,2021-04-12,GM,quantile,0.01,76678.92,Germany
2021-03-28,16 day ahead cum death,2021-04-13,GM,quantile,0.01,76736.9,Germany
2021-03-28,17 day ahead cum death,2021-04-14,GM,quantile,0.01,76798.81,Germany
2021-03-28,18 day ahead cum death,2021-04-15,GM,quantile,0.01,76862.77,Germany
2021-03-28,19 day ahead cum death,2021-04-16,GM,quantile,0.01,76925.73,Germany
2021-03-28,20 day ahead cum death,2021-04-17,GM,quantile,0.01,76964.73,Germany
2021-03-28,21 day ahead cum death,2021-04-18,GM,quantile,0.01,76983.87,Germany
2021-03-28,22 day ahead cum death,2021-04-19,GM,quantile,0.01,77043.85,Germany
2021-03-28,23 day ahead cum death,2021-04-20,GM,quantile,0.01,77110.79,Germany
2021-03-28,24 day ahead cum death,2021-04-21,GM,quantile,0.01,77161.87,Germany
2021-03-28,25 day ahead cum death,2021-04-22,GM,quantile,0.01,77208.94,Germany
2021-03-28,26 day ahead cum death,2021-04-23,GM,quantile,0.01,77259.9,Germany
2021-03-28,27 day ahead cum death,2021-04-24,GM,quantile,0.01,77298.88,Germany
2021-03-28,28 day ahead cum death,2021-04-25,GM,quantile,0.01,77328.95,Germany
2021-03-28,29 day ahead cum death,2021-04-26,GM,quantile,0.01,77382.87,Germany
2021-03-28,30 day ahead cum death,2021-04-27,GM,quantile,0.01,77427.84,Germany
2021-03-28,31 day ahead cum death,2021-04-28,GM,quantile,0.01,77459.94,Germany
2021-03-28,32 day ahead cum death,2021-04-29,GM,quantile,0.01,77495.91,Germany
2021-03-28,33 day ahead cum death,2021-04-30,GM,quantile,0.01,77525.7,Germany
2021-03-28,34 day ahead cum death,2021-05-01,GM,quantile,0.01,77548.72,Germany
2021-03-28,35 day ahead cum death,2021-05-02,GM,quantile,0.01,77570.92,Germany
2021-03-28,36 day ahead cum death,2021-05-03,GM,quantile,0.01,77592.95,Germany
2021-03-28,37 day ahead cum death,2021-05-04,GM,quantile,0.01,77602.98,Germany
2021-03-28,38 day ahead cum death,2021-05-05,GM,quantile,0.01,77612.95,Germany
2021-03-28,39 day ahead cum death,2021-05-06,GM,quantile,0.01,77630.9,Germany
2021-03-28,40 day ahead cum death,2021-05-07,GM,quantile,0.01,77645.98,Germany
2021-03-28,41 day ahead cum death,2021-05-08,GM,quantile,0.01,77665.92,Germany
2021-03-28,42 day ahead cum death,2021-05-09,GM,quantile,0.01,77680.89,Germany
2021-03-28,43 day ahead cum death,2021-05-10,GM,quantile,0.01,77701.85,Germany
2021-03-28,44 day ahead cum death,2021-05-11,GM,quantile,0.01,77717.95,Germany
2021-03-28,45 day ahead cum death,2021-05-12,GM,quantile,0.01,77747.73,Germany
2021-03-28,46 day ahead cum death,2021-05-13,GM,quantile,0.01,77775.79,Germany
2021-03-28,47 day ahead cum death,2021-05-14,GM,quantile,0.01,77802.88,Germany
2021-03-28,48 day ahead cum death,2021-05-15,GM,quantile,0.01,77826.87,Germany
2021-03-28,1 day ahead cum death,2021-03-29,GM,quantile,0.025,76054,Germany
2021-03-28,2 day ahead cum death,2021-03-30,GM,quantile,0.025,76169.8,Germany
2021-03-28,3 day ahead cum death,2021-03-31,GM,quantile,0.025,76275.825,Germany
2021-03-28,4 day ahead cum death,2021-04-01,GM,quantile,0.025,76388.8,Germany
2021-03-28,5 day ahead cum death,2021-04-02,GM,quantile,0.025,76498.925,Germany
2021-03-28,6 day ahead cum death,2021-04-03,GM,quantile,0.025,76561.95,Germany
2021-03-28,7 day ahead cum death,2021-04-04,GM,quantile,0.025,76602.875,Germany
2021-03-28,8 day ahead cum death,2021-04-05,GM,quantile,0.025,76702.8,Germany
2021-03-28,9 day ahead cum death,2021-04-06,GM,quantile,0.025,76819.9,Germany
2021-03-28,10 day ahead cum death,2021-04-07,GM,quantile,0.025,76915.95,Germany
2021-03-28,11 day ahead cum death,2021-04-08,GM,quantile,0.025,77029,Germany
2021-03-28,12 day ahead cum death,2021-04-09,GM,quantile,0.025,77128.875,Germany
2021-03-28,13 day ahead cum death,2021-04-10,GM,quantile,0.025,77183.925,Germany
2021-03-28,14 day ahead cum death,2021-04-11,GM,quantile,0.025,77208.975,Germany
2021-03-28,15 day ahead cum death,2021-04-12,GM,quantile,0.025,77292.925,Germany
2021-03-28,16 day ahead cum death,2021-04-13,GM,quantile,0.025,77385.975,Germany
2021-03-28,17 day ahead cum death,2021-04-14,GM,quantile,0.025,77458.875,Germany
2021-03-28,18 day ahead cum death,2021-04-15,GM,quantile,0.025,77533.75,Germany
2021-03-28,19 day ahead cum death,2021-04-16,GM,quantile,0.025,77579.95,Germany
2021-03-28,20 day ahead cum death,2021-04-17,GM,quantile,0.025,77600,Germany
2021-03-28,21 day ahead cum death,2021-04-18,GM,quantile,0.025,77635.95,Germany
2021-03-28,22 day ahead cum death,2021-04-19,GM,quantile,0.025,77689.975,Germany
2021-03-28,23 day ahead cum death,2021-04-20,GM,quantile,0.025,77737.975,Germany
2021-03-28,24 day ahead cum death,2021-04-21,GM,quantile,0.025,77778.8,Germany
2021-03-28,25 day ahead cum death,2021-04-22,GM,quantile,0.025,77819.9,Germany
2021-03-28,26 day ahead cum death,2021-04-23,GM,quantile,0.025,77855.925,Germany
2021-03-28,27 day ahead cum death,2021-04-24,GM,quantile,0.025,77880.85,Germany
2021-03-28,28 day ahead cum death,2021-04-25,GM,quantile,0.025,77901.85,Germany
2021-03-28,29 day ahead cum death,2021-04-26,GM,quantile,0.025,77939,Germany
2021-03-28,30 day ahead cum death,2021-04-27,GM,quantile,0.025,77968.925,Germany
2021-03-28,31 day ahead cum death,2021-04-28,GM,quantile,0.025,77997.975,Germany
