"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","point",NA,1074
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.01,331.99
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.025,533.95
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.05,727
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.1,897
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.15,947
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.2,972
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.25,992
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.3,1009
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.35,1024
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.4,1042
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.45,1057
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.5,1074
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.55,1089
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.6,1105
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.65,1123
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.7,1143
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.75,1165
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.8,1186
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.85,1214
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.9,1256
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.95,1323.05
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.975,1396
"2021-05-16","1 wk ahead inc death","2021-05-22","GM","quantile",0.99,1531.04
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","point",NA,852
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.01,250.99
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.025,426.925
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.05,581
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.1,682
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.15,718
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.2,741
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.25,762
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.3,783
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.35,799.65
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.4,817.6
"2021-05-16","2 wk ahead inc death","2021-05-29","GM","quantile",0.45,835
