"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","point",NA,12411.5
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.01,3827.95
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.025,4504.975
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.05,5115
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.1,6158.7
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.15,7198.1
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.2,7981.8
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.25,8717.25
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.3,9440.7
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.35,10132.65
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.4,10863
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.45,11629.75
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.5,12411.5
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.55,13167.35
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.6,14022.2
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.65,14934.35
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.7,15918.3
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.75,17096.5
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.8,18555.8
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.85,20277.65
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.9,22805.8
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.95,26746.05
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.975,29580.4
"2021-05-16","1 wk ahead inc case","2021-05-22","PL","quantile",0.99,34734.5900000001
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","point",NA,9116
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.01,952.88
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.025,1392.375
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.05,1942.95
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.1,3027.7
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.15,3923.85
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.2,4684.8
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.25,5393
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.3,6041
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.35,6764.3
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.4,7524
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.45,8272.85
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.5,9116
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.55,10019.8
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.6,10870.6
"2021-05-16","2 wk ahead inc case","2021-05-29","PL","quantile",0.65,11906.85
