"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","point",NA,76284
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.01,37288
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.025,41642
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.05,46294
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.1,52390
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.15,56385
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.2,59596
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.25,62578
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.3,65459
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.35,68204
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.4,71090
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.45,73600
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.5,76284
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.55,79301
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.6,82188
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.65,85271
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.7,88841
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.75,92658
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.8,97089
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.85,101777
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.9,108573
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.95,119344
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.975,129937
"2021-08-29","1 wk ahead inc case","2021-09-04","GM","quantile",0.99,141742
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","point",NA,95748
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.01,39700
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.025,47259
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.05,53824
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.1,60990
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.15,67323
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.2,72007
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.25,76555
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.3,80490
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.35,84061
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.4,88035
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.45,92083
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.5,95748
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.55,99595
"2021-08-29","2 wk ahead inc case","2021-09-11","GM","quantile",0.6,103583
