"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","point",NA,268
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.01,79
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.025,109
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.05,149
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.1,178
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.15,192
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.2,204
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.25,215
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.3,227
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.35,238
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.4,249
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.45,258
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.5,268
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.55,278
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.6,287
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.65,296
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.7,306
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.75,317
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.8,329
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.85,345
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.9,365
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.95,400
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.975,443
"2021-09-12","1 wk ahead inc death","2021-09-18","GM","quantile",0.99,502
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","point",NA,250
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.01,67
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.025,93
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.05,123
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.1,146
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.15,161
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.2,175
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.25,188
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.3,199
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.35,213
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.4,225
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.45,238
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.5,250
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.55,263
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.6,276
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.65,289
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.7,303
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.75,319
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.8,337
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.85,356
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.9,383
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.95,428
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.975,479
"2021-09-12","2 wk ahead inc death","2021-09-25","GM","quantile",0.99,554
"2021-09-12","3 wk ahead inc death","2021-10-02","GM","point",NA,240
"2021-09-12","3 wk ahead inc death","2021-10-02","GM","quantile",0.01,57
