"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","point",NA,43
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.01,22
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.025,25
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.05,28
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.1,31
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.15,33
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.2,35
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.25,36
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.3,38
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.35,39
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.4,41
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.45,42
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.5,43
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.55,44
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.6,46
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.65,47
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.7,49
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.75,51
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.8,53
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.85,55
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.9,58
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.95,62
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.975,65
"2021-09-19","1 wk ahead inc death","2021-09-25","PL","quantile",0.99,70
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","point",NA,43
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.01,21
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.025,24
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.05,26
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.1,30
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.15,32
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.2,34
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.25,36
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.3,37
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.35,39
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.4,40
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.45,41
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.5,43
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.55,44
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.6,46
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.65,47
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.7,49
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.75,50
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.8,52
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.85,55
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.9,57
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.95,61
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.975,65
"2021-09-19","2 wk ahead inc death","2021-10-02","PL","quantile",0.99,69
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","point",NA,43
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.01,22
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.025,24
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.05,27
"2021-09-19","3 wk ahead inc death","2021-10-09","PL","quantile",0.1,30
