"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-22,"0 day ahead inc case",2021-03-22,"GM","Germany","observed",NA,13053.7142857143
2021-03-22,"0 day ahead cum case",2021-03-22,"GM","Germany","observed",NA,2667225
2021-03-22,"1 day ahead inc case",2021-03-23,"GM","Germany","point",NA,13756.049021697
2021-03-22,"2 day ahead inc case",2021-03-24,"GM","Germany","point",NA,14505.580734844
2021-03-22,"3 day ahead inc case",2021-03-25,"GM","Germany","point",NA,15317.3490452529
2021-03-22,"4 day ahead inc case",2021-03-26,"GM","Germany","point",NA,16173.5549021315
2021-03-22,"5 day ahead inc case",2021-03-27,"GM","Germany","point",NA,17069.9203963447
2021-03-22,"6 day ahead inc case",2021-03-28,"GM","Germany","point",NA,17996.1859582546
2021-03-22,"7 day ahead inc case",2021-03-29,"GM","Germany","point",NA,18972.1157926841
2021-03-22,"8 day ahead inc case",2021-03-30,"GM","Germany","point",NA,19986.8032299146
2021-03-22,"9 day ahead inc case",2021-03-31,"GM","Germany","point",NA,21100.7967311212
2021-03-22,"10 day ahead inc case",2021-04-01,"GM","Germany","point",NA,22290.2428155325
2021-03-22,"11 day ahead inc case",2021-04-02,"GM","Germany","point",NA,23498.2807128765
2021-03-22,"12 day ahead inc case",2021-04-03,"GM","Germany","point",NA,24771.9761616497
2021-03-22,"13 day ahead inc case",2021-04-04,"GM","Germany","point",NA,26157.1572230131
2021-03-22,"14 day ahead inc case",2021-04-05,"GM","Germany","point",NA,27582.019570076
2021-03-22,"15 day ahead inc case",2021-04-06,"GM","Germany","point",NA,29145.452989152
2021-03-22,"16 day ahead inc case",2021-04-07,"GM","Germany","point",NA,30806.0240410371
2021-03-22,"17 day ahead inc case",2021-04-08,"GM","Germany","point",NA,32575.1975397137
2021-03-22,"18 day ahead inc case",2021-04-09,"GM","Germany","point",NA,34458.9830574626
2021-03-22,"19 day ahead inc case",2021-04-10,"GM","Germany","point",NA,36431.7695008487
2021-03-22,"20 day ahead inc case",2021-04-11,"GM","Germany","point",NA,38640.0316510717
