"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-22,"0 day ahead inc death",2021-03-22,"GM","Germany","observed",NA,185.142857142857
2021-03-22,"0 day ahead cum death",2021-03-22,"GM","Germany","observed",NA,74723
2021-03-22,"1 day ahead inc death",2021-03-23,"GM","Germany","point",NA,189.889697109777
2021-03-22,"2 day ahead inc death",2021-03-24,"GM","Germany","point",NA,195.847175708769
2021-03-22,"3 day ahead inc death",2021-03-25,"GM","Germany","point",NA,203.937040505124
2021-03-22,"4 day ahead inc death",2021-03-26,"GM","Germany","point",NA,212.648977325366
2021-03-22,"5 day ahead inc death",2021-03-27,"GM","Germany","point",NA,223.168495829733
2021-03-22,"6 day ahead inc death",2021-03-28,"GM","Germany","point",NA,234.539239607076
2021-03-22,"7 day ahead inc death",2021-03-29,"GM","Germany","point",NA,249.024667247294
2021-03-22,"8 day ahead inc death",2021-03-30,"GM","Germany","point",NA,263.021866127138
2021-03-22,"9 day ahead inc death",2021-03-31,"GM","Germany","point",NA,279.844121964039
2021-03-22,"10 day ahead inc death",2021-04-01,"GM","Germany","point",NA,296.042698204115
2021-03-22,"11 day ahead inc death",2021-04-02,"GM","Germany","point",NA,312.615904888333
2021-03-22,"12 day ahead inc death",2021-04-03,"GM","Germany","point",NA,334.365455163821
2021-03-22,"13 day ahead inc death",2021-04-04,"GM","Germany","point",NA,354.560308005692
2021-03-22,"14 day ahead inc death",2021-04-05,"GM","Germany","point",NA,373.379615342899
2021-03-22,"15 day ahead inc death",2021-04-06,"GM","Germany","point",NA,398.14083236011
2021-03-22,"16 day ahead inc death",2021-04-07,"GM","Germany","point",NA,421.640168853092
2021-03-22,"17 day ahead inc death",2021-04-08,"GM","Germany","point",NA,442.012983025868
2021-03-22,"18 day ahead inc death",2021-04-09,"GM","Germany","point",NA,465.392578812188
2021-03-22,"19 day ahead inc death",2021-04-10,"GM","Germany","point",NA,492.535864966216
2021-03-22,"20 day ahead inc death",2021-04-11,"GM","Germany","point",NA,522.882652604139
2021-03-22,"21 day ahead inc death",2021-04-12,"GM","Germany","point",NA,551.908666946135
2021-03-22,"22 day ahead inc death",2021-04-13,"GM","Germany","point",NA,587.504253763951
2021-03-22,"23 day ahead inc death",2021-04-14,"GM","Germany","point",NA,625.022671583383
2021-03-22,"24 day ahead inc death",2021-04-15,"GM","Germany","point",NA,665.444077671144
2021-03-22,"25 day ahead inc death",2021-04-16,"GM","Germany","point",NA,708.267782578988
2021-03-22,"26 day ahead inc death",2021-04-17,"GM","Germany","point",NA,751.385493250302
2021-03-22,"27 day ahead inc death",2021-04-18,"GM","Germany","point",NA,802.27603550068
2021-03-22,"28 day ahead inc death",2021-04-19,"GM","Germany","point",NA,847.944837386111
2021-03-22,"29 day ahead inc death",2021-04-20,"GM","Germany","point",NA,909.228444144403
2021-03-22,"30 day ahead inc death",2021-04-21,"GM","Germany","point",NA,960.681718569143
2021-03-22,"1 day ahead inc death",2021-03-23,"GM","Germany","quantile",0.01,100.380863503582
2021-03-22,"2 day ahead inc death",2021-03-24,"GM","Germany","quantile",0.01,92.2032552842606
2021-03-22,"3 day ahead inc death",2021-03-25,"GM","Germany","quantile",0.01,84.0815866630872
2021-03-22,"4 day ahead inc death",2021-03-26,"GM","Germany","quantile",0.01,75.0987977517819
2021-03-22,"5 day ahead inc death",2021-03-27,"GM","Germany","quantile",0.01,69.0915155341132
2021-03-22,"6 day ahead inc death",2021-03-28,"GM","Germany","quantile",0.01,62.1166351712096
2021-03-22,"7 day ahead inc death",2021-03-29,"GM","Germany","quantile",0.01,58.7835534230278
2021-03-22,"8 day ahead inc death",2021-03-30,"GM","Germany","quantile",0.01,55.5731879941813
2021-03-22,"9 day ahead inc death",2021-03-31,"GM","Germany","quantile",0.01,54.6112166416747
2021-03-22,"10 day ahead inc death",2021-04-01,"GM","Germany","quantile",0.01,54.4049801401945
2021-03-22,"11 day ahead inc death",2021-04-02,"GM","Germany","quantile",0.01,54.5328890576426
2021-03-22,"12 day ahead inc death",2021-04-03,"GM","Germany","quantile",0.01,56.0391093699464
2021-03-22,"13 day ahead inc death",2021-04-04,"GM","Germany","quantile",0.01,57.1734065742495
2021-03-22,"14 day ahead inc death",2021-04-05,"GM","Germany","quantile",0.01,57.7257353367646
2021-03-22,"15 day ahead inc death",2021-04-06,"GM","Germany","quantile",0.01,59.6738294617226
2021-03-22,"16 day ahead inc death",2021-04-07,"GM","Germany","quantile",0.01,60.070529216675
2021-03-22,"17 day ahead inc death",2021-04-08,"GM","Germany","quantile",0.01,62.2304119255463
2021-03-22,"18 day ahead inc death",2021-04-09,"GM","Germany","quantile",0.01,62.1620187517393
2021-03-22,"19 day ahead inc death",2021-04-10,"GM","Germany","quantile",0.01,63.4108634765209
