"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-29,"0 day ahead curr ICU",2021-03-29,"GM","Germany","observed",NA,3573
2021-03-29,"1 day ahead curr ICU",2021-03-30,"GM","Germany","point",NA,3761.00350378912
2021-03-29,"2 day ahead curr ICU",2021-03-31,"GM","Germany","point",NA,3967.03328143451
2021-03-29,"3 day ahead curr ICU",2021-04-01,"GM","Germany","point",NA,4186.81864986053
2021-03-29,"4 day ahead curr ICU",2021-04-02,"GM","Germany","point",NA,4415.34924831011
2021-03-29,"5 day ahead curr ICU",2021-04-03,"GM","Germany","point",NA,4659.09634094474
2021-03-29,"6 day ahead curr ICU",2021-04-04,"GM","Germany","point",NA,4914.64904447224
2021-03-29,"7 day ahead curr ICU",2021-04-05,"GM","Germany","point",NA,5192.02388720121
2021-03-29,"8 day ahead curr ICU",2021-04-06,"GM","Germany","point",NA,5470.19280931852
2021-03-29,"9 day ahead curr ICU",2021-04-07,"GM","Germany","point",NA,5769.86120057733
2021-03-29,"10 day ahead curr ICU",2021-04-08,"GM","Germany","point",NA,6100.26322792395
2021-03-29,"11 day ahead curr ICU",2021-04-09,"GM","Germany","point",NA,6443.71073853782
2021-03-29,"12 day ahead curr ICU",2021-04-10,"GM","Germany","point",NA,6794.40403313972
2021-03-29,"13 day ahead curr ICU",2021-04-11,"GM","Germany","point",NA,7171.71690645212
2021-03-29,"14 day ahead curr ICU",2021-04-12,"GM","Germany","point",NA,7581.89309883579
2021-03-29,"15 day ahead curr ICU",2021-04-13,"GM","Germany","point",NA,8024.733097848
2021-03-29,"16 day ahead curr ICU",2021-04-14,"GM","Germany","point",NA,8484.30859307271
2021-03-29,"17 day ahead curr ICU",2021-04-15,"GM","Germany","point",NA,9022.88836704258
2021-03-29,"18 day ahead curr ICU",2021-04-16,"GM","Germany","point",NA,9585.11845281847
2021-03-29,"19 day ahead curr ICU",2021-04-17,"GM","Germany","point",NA,10147.7654834493
2021-03-29,"20 day ahead curr ICU",2021-04-18,"GM","Germany","point",NA,10758.956049933
2021-03-29,"21 day ahead curr ICU",2021-04-19,"GM","Germany","point",NA,11320.1137545497
2021-03-29,"22 day ahead curr ICU",2021-04-20,"GM","Germany","point",NA,11777.682657394
2021-03-29,"23 day ahead curr ICU",2021-04-21,"GM","Germany","point",NA,12470.4967167412
2021-03-29,"24 day ahead curr ICU",2021-04-22,"GM","Germany","point",NA,13160.3051823784
2021-03-29,"25 day ahead curr ICU",2021-04-23,"GM","Germany","point",NA,13778.3166484571
2021-03-29,"26 day ahead curr ICU",2021-04-24,"GM","Germany","point",NA,14575.4465885955
2021-03-29,"27 day ahead curr ICU",2021-04-25,"GM","Germany","point",NA,15267.4652398908
2021-03-29,"28 day ahead curr ICU",2021-04-26,"GM","Germany","point",NA,16038.3141489036
2021-03-29,"29 day ahead curr ICU",2021-04-27,"GM","Germany","point",NA,16699.678008042
2021-03-29,"30 day ahead curr ICU",2021-04-28,"GM","Germany","point",NA,17386.9958725397
2021-03-29,"1 day ahead curr ICU",2021-03-30,"GM","Germany","quantile","0.01",2851.96263842896
2021-03-29,"2 day ahead curr ICU",2021-03-31,"GM","Germany","quantile","0.01",2879.92004419642
