"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-29,"0 day ahead inc case",2021-03-29,"GM","Germany","observed",NA,16435.4285714286
2021-03-29,"0 day ahead cum case",2021-03-29,"GM","Germany","observed",NA,2782273
2021-03-29,"1 day ahead inc case",2021-03-30,"GM","Germany","point",NA,17410.4027599295
2021-03-29,"2 day ahead inc case",2021-03-31,"GM","Germany","point",NA,18450.9165319515
2021-03-29,"3 day ahead inc case",2021-04-01,"GM","Germany","point",NA,19539.9021297589
2021-03-29,"4 day ahead inc case",2021-04-02,"GM","Germany","point",NA,20672.8596122032
2021-03-29,"5 day ahead inc case",2021-04-03,"GM","Germany","point",NA,21880.006644389
2021-03-29,"6 day ahead inc case",2021-04-04,"GM","Germany","point",NA,23133.0125240156
2021-03-29,"7 day ahead inc case",2021-04-05,"GM","Germany","point",NA,24460.7695366451
2021-03-29,"8 day ahead inc case",2021-04-06,"GM","Germany","point",NA,25884.6512943979
2021-03-29,"9 day ahead inc case",2021-04-07,"GM","Germany","point",NA,27368.0104863045
2021-03-29,"10 day ahead inc case",2021-04-08,"GM","Germany","point",NA,28981.1733791051
2021-03-29,"11 day ahead inc case",2021-04-09,"GM","Germany","point",NA,30635.794160259
2021-03-29,"12 day ahead inc case",2021-04-10,"GM","Germany","point",NA,32434.6777856847
2021-03-29,"13 day ahead inc case",2021-04-11,"GM","Germany","point",NA,34334.084175578
2021-03-29,"14 day ahead inc case",2021-04-12,"GM","Germany","point",NA,36337.766616777
2021-03-29,"15 day ahead inc case",2021-04-13,"GM","Germany","point",NA,38562.5194691659
2021-03-29,"16 day ahead inc case",2021-04-14,"GM","Germany","point",NA,40853.6805355956
2021-03-29,"17 day ahead inc case",2021-04-15,"GM","Germany","point",NA,43048.6111862699
2021-03-29,"18 day ahead inc case",2021-04-16,"GM","Germany","point",NA,45635.9585388424
2021-03-29,"19 day ahead inc case",2021-04-17,"GM","Germany","point",NA,48289.9389605427
2021-03-29,"20 day ahead inc case",2021-04-18,"GM","Germany","point",NA,51047.1870141748
2021-03-29,"21 day ahead inc case",2021-04-19,"GM","Germany","point",NA,53933.5772116042
2021-03-29,"22 day ahead inc case",2021-04-20,"GM","Germany","point",NA,57075.7128297344
2021-03-29,"23 day ahead inc case",2021-04-21,"GM","Germany","point",NA,60419.2850710313
2021-03-29,"24 day ahead inc case",2021-04-22,"GM","Germany","point",NA,63681.8848321142
2021-03-29,"25 day ahead inc case",2021-04-23,"GM","Germany","point",NA,67614.3161484793
2021-03-29,"26 day ahead inc case",2021-04-24,"GM","Germany","point",NA,70994.655152511
2021-03-29,"27 day ahead inc case",2021-04-25,"GM","Germany","point",NA,74650.8106175026
2021-03-29,"28 day ahead inc case",2021-04-26,"GM","Germany","point",NA,78819.4161299514
2021-03-29,"29 day ahead inc case",2021-04-27,"GM","Germany","point",NA,83026.3873487589
2021-03-29,"30 day ahead inc case",2021-04-28,"GM","Germany","point",NA,86870.5967521176
2021-03-29,"1 day ahead inc case",2021-03-30,"GM","Germany","quantile",0.01,15892.0489336026
2021-03-29,"2 day ahead inc case",2021-03-31,"GM","Germany","quantile",0.01,16723.2307776697
2021-03-29,"3 day ahead inc case",2021-04-01,"GM","Germany","quantile",0.01,17365.8394959145
2021-03-29,"4 day ahead inc case",2021-04-02,"GM","Germany","quantile",0.01,17717.51486993
2021-03-29,"5 day ahead inc case",2021-04-03,"GM","Germany","quantile",0.01,17734.9202796747
2021-03-29,"6 day ahead inc case",2021-04-04,"GM","Germany","quantile",0.01,17593.210183823
2021-03-29,"7 day ahead inc case",2021-04-05,"GM","Germany","quantile",0.01,17313.8285483305
2021-03-29,"8 day ahead inc case",2021-04-06,"GM","Germany","quantile",0.01,16806.7742988771
2021-03-29,"9 day ahead inc case",2021-04-07,"GM","Germany","quantile",0.01,15960.3811730921
2021-03-29,"10 day ahead inc case",2021-04-08,"GM","Germany","quantile",0.01,15611.679416606
2021-03-29,"11 day ahead inc case",2021-04-09,"GM","Germany","quantile",0.01,15170.6468332213
2021-03-29,"12 day ahead inc case",2021-04-10,"GM","Germany","quantile",0.01,14315.5408345138
2021-03-29,"13 day ahead inc case",2021-04-11,"GM","Germany","quantile",0.01,13475.4405890149
2021-03-29,"14 day ahead inc case",2021-04-12,"GM","Germany","quantile",0.01,13817.7448610899
2021-03-29,"15 day ahead inc case",2021-04-13,"GM","Germany","quantile",0.01,13297.5562683095
2021-03-29,"16 day ahead inc case",2021-04-14,"GM","Germany","quantile",0.01,12622.3102651347
2021-03-29,"17 day ahead inc case",2021-04-15,"GM","Germany","quantile",0.01,11841.6896988607
2021-03-29,"18 day ahead inc case",2021-04-16,"GM","Germany","quantile",0.01,10949.7643323242
2021-03-29,"19 day ahead inc case",2021-04-17,"GM","Germany","quantile",0.01,12367.870104896
2021-03-29,"20 day ahead inc case",2021-04-18,"GM","Germany","quantile",0.01,11631.8645053544
2021-03-29,"21 day ahead inc case",2021-04-19,"GM","Germany","quantile",0.01,9587.94586017134
2021-03-29,"22 day ahead inc case",2021-04-20,"GM","Germany","quantile",0.01,11201.2506919161
2021-03-29,"23 day ahead inc case",2021-04-21,"GM","Germany","quantile",0.01,10648.2431460171
2021-03-29,"24 day ahead inc case",2021-04-22,"GM","Germany","quantile",0.01,10796.8248321085
2021-03-29,"25 day ahead inc case",2021-04-23,"GM","Germany","quantile",0.01,8140.07350568412
2021-03-29,"26 day ahead inc case",2021-04-24,"GM","Germany","quantile",0.01,7355.54789125969
2021-03-29,"27 day ahead inc case",2021-04-25,"GM","Germany","quantile",0.01,9247.18431033371
2021-03-29,"28 day ahead inc case",2021-04-26,"GM","Germany","quantile",0.01,6853.64501091734
2021-03-29,"29 day ahead inc case",2021-04-27,"GM","Germany","quantile",0.01,9337.14811765089
2021-03-29,"30 day ahead inc case",2021-04-28,"GM","Germany","quantile",0.01,9239.77137104719
2021-03-29,"1 day ahead inc case",2021-03-30,"GM","Germany","quantile",0.025,16111.6492386472
2021-03-29,"2 day ahead inc case",2021-03-31,"GM","Germany","quantile",0.025,16976.9547754446
2021-03-29,"3 day ahead inc case",2021-04-01,"GM","Germany","quantile",0.025,17697.0749106914
2021-03-29,"4 day ahead inc case",2021-04-02,"GM","Germany","quantile",0.025,18197.4505238568
2021-03-29,"5 day ahead inc case",2021-04-03,"GM","Germany","quantile",0.025,18534.4042841226
2021-03-29,"6 day ahead inc case",2021-04-04,"GM","Germany","quantile",0.025,18770.0546740172
2021-03-29,"7 day ahead inc case",2021-04-05,"GM","Germany","quantile",0.025,18955.385633132
2021-03-29,"8 day ahead inc case",2021-04-06,"GM","Germany","quantile",0.025,19030.914473458
2021-03-29,"9 day ahead inc case",2021-04-07,"GM","Germany","quantile",0.025,19028.0453832003
2021-03-29,"10 day ahead inc case",2021-04-08,"GM","Germany","quantile",0.025,19071.6942310058
2021-03-29,"11 day ahead inc case",2021-04-09,"GM","Germany","quantile",0.025,19144.6069051316
2021-03-29,"12 day ahead inc case",2021-04-10,"GM","Germany","quantile",0.025,19065.6400267604
2021-03-29,"13 day ahead inc case",2021-04-11,"GM","Germany","quantile",0.025,19020.5313370892
2021-03-29,"14 day ahead inc case",2021-04-12,"GM","Germany","quantile",0.025,18997.7261167714
2021-03-29,"15 day ahead inc case",2021-04-13,"GM","Germany","quantile",0.025,19009.5979840461
2021-03-29,"16 day ahead inc case",2021-04-14,"GM","Germany","quantile",0.025,18964.5059711635
2021-03-29,"17 day ahead inc case",2021-04-15,"GM","Germany","quantile",0.025,18853.3807528906
2021-03-29,"18 day ahead inc case",2021-04-16,"GM","Germany","quantile",0.025,18823.9098182996
2021-03-29,"19 day ahead inc case",2021-04-17,"GM","Germany","quantile",0.025,18778.8445194471
2021-03-29,"20 day ahead inc case",2021-04-18,"GM","Germany","quantile",0.025,18775.8300863431
2021-03-29,"21 day ahead inc case",2021-04-19,"GM","Germany","quantile",0.025,18671.7936203669
2021-03-29,"22 day ahead inc case",2021-04-20,"GM","Germany","quantile",0.025,18621.273929895
2021-03-29,"23 day ahead inc case",2021-04-21,"GM","Germany","quantile",0.025,18622.4332358439
2021-03-29,"24 day ahead inc case",2021-04-22,"GM","Germany","quantile",0.025,18669.3754899171
2021-03-29,"25 day ahead inc case",2021-04-23,"GM","Germany","quantile",0.025,18446.0552006448
2021-03-29,"26 day ahead inc case",2021-04-24,"GM","Germany","quantile",0.025,18335.1413688332
2021-03-29,"27 day ahead inc case",2021-04-25,"GM","Germany","quantile",0.025,18377.7922650926
2021-03-29,"28 day ahead inc case",2021-04-26,"GM","Germany","quantile",0.025,18463.8334128911
2021-03-29,"29 day ahead inc case",2021-04-27,"GM","Germany","quantile",0.025,18450.3261172793
2021-03-29,"30 day ahead inc case",2021-04-28,"GM","Germany","quantile",0.025,18335.79331388
2021-03-29,"1 day ahead inc case",2021-03-30,"GM","Germany","quantile",0.05,16314.9954671328
2021-03-29,"2 day ahead inc case",2021-03-31,"GM","Germany","quantile",0.05,17206.9861210889
2021-03-29,"3 day ahead inc case",2021-04-01,"GM","Germany","quantile",0.05,17979.9658987883
2021-03-29,"4 day ahead inc case",2021-04-02,"GM","Germany","quantile",0.05,18586.7698731944
