"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-29,"0 day ahead inc death",2021-03-29,"GM","Germany","observed",NA,171.285714285714
2021-03-29,"0 day ahead cum death",2021-03-29,"GM","Germany","observed",NA,75922
2021-03-29,"1 day ahead inc death",2021-03-30,"GM","Germany","point",NA,178.792449902536
2021-03-29,"2 day ahead inc death",2021-03-31,"GM","Germany","point",NA,187.71669483753
2021-03-29,"3 day ahead inc death",2021-04-01,"GM","Germany","point",NA,196.991833086142
2021-03-29,"4 day ahead inc death",2021-04-02,"GM","Germany","point",NA,207.620985967702
2021-03-29,"5 day ahead inc death",2021-04-03,"GM","Germany","point",NA,219.533842387679
2021-03-29,"6 day ahead inc death",2021-04-04,"GM","Germany","point",NA,231.433153308602
2021-03-29,"7 day ahead inc death",2021-04-05,"GM","Germany","point",NA,245.003696073633
2021-03-29,"8 day ahead inc death",2021-04-06,"GM","Germany","point",NA,260.793224236963
2021-03-29,"9 day ahead inc death",2021-04-07,"GM","Germany","point",NA,277.39252660324
2021-03-29,"10 day ahead inc death",2021-04-08,"GM","Germany","point",NA,296.233007276599
2021-03-29,"11 day ahead inc death",2021-04-09,"GM","Germany","point",NA,313.357849441555
2021-03-29,"12 day ahead inc death",2021-04-10,"GM","Germany","point",NA,333.767549675687
2021-03-29,"13 day ahead inc death",2021-04-11,"GM","Germany","point",NA,356.940988868689
2021-03-29,"14 day ahead inc death",2021-04-12,"GM","Germany","point",NA,380.252570292074
2021-03-29,"15 day ahead inc death",2021-04-13,"GM","Germany","point",NA,404.949397893741
2021-03-29,"16 day ahead inc death",2021-04-14,"GM","Germany","point",NA,428.621989040825
2021-03-29,"17 day ahead inc death",2021-04-15,"GM","Germany","point",NA,452.747351784727
2021-03-29,"18 day ahead inc death",2021-04-16,"GM","Germany","point",NA,477.115787270322
2021-03-29,"19 day ahead inc death",2021-04-17,"GM","Germany","point",NA,497.857743497336
2021-03-29,"20 day ahead inc death",2021-04-18,"GM","Germany","point",NA,525.455014601743
2021-03-29,"21 day ahead inc death",2021-04-19,"GM","Germany","point",NA,554.936535831762
2021-03-29,"22 day ahead inc death",2021-04-20,"GM","Germany","point",NA,580.843333603618
2021-03-29,"23 day ahead inc death",2021-04-21,"GM","Germany","point",NA,611.355137354584
2021-03-29,"24 day ahead inc death",2021-04-22,"GM","Germany","point",NA,643.543061863496
2021-03-29,"25 day ahead inc death",2021-04-23,"GM","Germany","point",NA,676.985268949992
