"forecast_date","target","target_end_date","location","type","quantile","value"
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","point",NA,2828407
2021-04-26,"1 wk ahead inc case",2021-05-01,"PL","point",NA,78118
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.01,2818626
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.025,2819938
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.05,2820922
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.1,2822599
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.15,2823739
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.2,2824650
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.25,2825224
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.3,2825924
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.35,2826663
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.4,2827191
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.45,2827778
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.5,2828407
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.55,2829125
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.6,2829784
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.65,2830438
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.7,2831041
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.75,2831471
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.8,2832196
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.85,2833167
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.9,2834123
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.95,2836102
2021-04-26,"1 wk ahead cum case",2021-05-01,"PL","quantile",0.975,2837932
