"forecast_date","target","target_end_date","location","type","quantile","value"
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","point",NA,74460
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","point",NA,847
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.01,74401
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.025,74408
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.05,74417
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.1,74425
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.15,74431
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.2,74437
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.25,74443
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.3,74448
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.35,74451
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.4,74455
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.45,74458
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.5,74460
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.55,74464
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.6,74467
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.65,74471
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.7,74474
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.75,74479
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.8,74482
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.85,74489
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.9,74498
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.95,74507
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.975,74518
2021-05-31,"1 wk ahead cum death",2021-06-05,"PL","quantile",0.99,74533
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.01,788
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.025,795
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.05,804
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.1,812
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.15,818
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.2,824
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.25,830
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.3,835
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.35,838
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.4,842
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.45,845
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.5,847
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.55,851
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.6,854
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.65,858
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.7,861
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.75,866
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.8,869
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.85,876
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.9,885
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.95,894
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.975,905
2021-05-31,"1 wk ahead inc death",2021-06-05,"PL","quantile",0.99,920
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","point",NA,74904
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","point",NA,444
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.01,74819
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.025,74831
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.05,74840
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.1,74852
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.15,74863
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.2,74871
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.25,74877
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.3,74883
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.35,74889
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.4,74895
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.45,74900
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.5,74904
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.55,74910
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.6,74917
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.65,74921
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.7,74927
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.75,74933
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.8,74939
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.85,74946
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.9,74960
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.95,74973
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.975,74987
2021-05-31,"2 wk ahead cum death",2021-06-12,"PL","quantile",0.99,74999
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.01,389
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.025,398
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.05,405
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.1,414
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.15,421
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.2,425
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.25,428
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.3,432
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.35,435
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.4,438
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.45,441
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.5,444
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.55,447
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.6,450
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.65,453
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.7,457
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.75,460
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.8,464
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.85,469
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.9,473
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.95,487
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.975,495
2021-05-31,"2 wk ahead inc death",2021-06-12,"PL","quantile",0.99,502
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","point",NA,75178
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","point",NA,271
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.01,75055
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.025,75074
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.05,75088
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.1,75106
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.15,75118
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.2,75127
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.25,75137
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.3,75144
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.35,75154
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.4,75162
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.45,75170
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.5,75178
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.55,75185
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.6,75192
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.65,75197
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.7,75205
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.75,75213
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.8,75224
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.85,75235
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.9,75254
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.95,75277
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.975,75296
2021-05-31,"3 wk ahead cum death",2021-06-19,"PL","quantile",0.99,75326
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.01,200
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.025,212
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.05,217
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.1,227
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.15,237
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.2,245
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.25,250
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.3,255
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.35,261
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.4,265
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.45,268
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.5,271
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.55,275
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.6,280
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.65,283
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.7,288
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.75,293
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.8,299
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.85,305
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.9,317
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.95,331
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.975,340
2021-05-31,"3 wk ahead inc death",2021-06-19,"PL","quantile",0.99,359
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","point",NA,75352
2021-05-31,"4 wk ahead inc death",2021-06-26,"PL","point",NA,177
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.01,75191
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.025,75216
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.05,75226
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.1,75260
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.15,75277
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.2,75287
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.25,75299
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.3,75311
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.35,75322
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.4,75333
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.45,75343
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.5,75352
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.55,75361
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.6,75371
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.65,75382
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.7,75396
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.75,75409
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.8,75422
2021-05-31,"4 wk ahead cum death",2021-06-26,"PL","quantile",0.85,75442
