forecast_date,target,target_end_date,location,type,quantile,value
2021-06-21,1 wk ahead cum death,2021-06-26,GM,point,NA,90864.0
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.01,90531.30034490733
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.025,90583.69826657185
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.05,90628.76336988495
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.1,90680.72054786047
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.15,90715.7758091733
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.2,90743.63661959034
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.25,90767.53871415457
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.3,90789.00353379852
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.35,90808.89388809625
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.4,90827.76788924281
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.45,90846.02870377914
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.5,90864.0
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.55,90881.97129622086
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.6,90900.23211075719
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.65,90919.10611190375
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.7,90938.99646620148
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.75,90960.46128584543
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.8,90984.36338040966
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.85,91012.2241908267
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.9,91047.27945213953
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.95,91099.23663011505
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.975,91144.30173342815
2021-06-21,1 wk ahead cum death,2021-06-26,GM,quantile,0.99,91196.69965509267
2021-06-21,2 wk ahead cum death,2021-07-03,GM,point,NA,91327.0
2021-06-21,2 wk ahead cum death,2021-07-03,GM,quantile,0.01,90856.49163557109
2021-06-21,2 wk ahead cum death,2021-07-03,GM,quantile,0.025,90930.59348702923
