forecast_date,target,target_end_date,location,type,quantile,value
2021-07-12,1 wk ahead cum death,2021-07-17,PL,point,NA,75220.0
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.01,75171.41586091035
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.025,75179.06753074285
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.05,75185.64838892511
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.1,75193.23569694551
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.15,75198.35481764606
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.2,75202.42333249941
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.25,75205.91375597616
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.3,75209.04826413436
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.35,75211.95285307802
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.4,75214.7090239452
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.45,75217.37565115608
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.5,75220.0
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.55,75222.62434884392
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.6,75225.2909760548
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.65,75228.04714692198
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.7,75230.95173586564
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.75,75234.08624402384
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.8,75237.57666750059
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.85,75241.64518235394
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.9,75246.76430305449
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.95,75254.35161107489
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.975,75260.93246925715
2021-07-12,1 wk ahead cum death,2021-07-17,PL,quantile,0.99,75268.58413908965
2021-07-12,2 wk ahead cum death,2021-07-24,PL,point,NA,75267.0
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.01,75198.29165158319
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.025,75209.11274683512
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.05,75218.41948572853
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.1,75229.14955963289
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.15,75236.38908955501
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.2,75242.14283843935
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.25,75247.07904265859
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.3,75251.51190660728
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.35,75255.61961568453
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.4,75259.5174299051
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.45,75263.28861027253
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.5,75267.0
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.55,75270.71138972747
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.6,75274.4825700949
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.65,75278.38038431547
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.7,75282.48809339272
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.75,75286.92095734141
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.8,75291.85716156065
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.85,75297.61091044499
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.9,75304.85044036711
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.95,75315.58051427147
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.975,75324.88725316488
2021-07-12,2 wk ahead cum death,2021-07-24,PL,quantile,0.99,75335.70834841681
2021-07-12,3 wk ahead cum death,2021-07-31,PL,point,NA,75299.0
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.01,75214.84980265473
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.025,75228.10288356736
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.05,75239.50126429646
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.1,75252.64286728046
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.15,75261.50944442388
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.2,75268.55631886124
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.25,75274.6019096629
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.3,75280.03103704963
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.35,75285.06193267516
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.4,75289.83576065143
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.45,75294.45449446554
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.5,75299.0
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.55,75303.54550553446
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.6,75308.16423934857
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.65,75312.93806732484
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.7,75317.96896295037
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.75,75323.3980903371
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.8,75329.44368113876
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.85,75336.49055557612
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.9,75345.35713271954
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.95,75358.49873570354
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.975,75369.89711643264
2021-07-12,3 wk ahead cum death,2021-07-31,PL,quantile,0.99,75383.15019734527
