forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,point,NA,43539.0
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.01,11479.86179663418
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.025,16528.956938449675
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.05,20871.45730822327
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.1,25878.082123960583
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.15,29256.02811813391
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.2,31940.71251123571
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.25,34243.93267168595
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.3,36312.29555978186
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.35,38228.94202329315
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.4,40047.65208789905
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.45,41807.27512316536
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.5,43539.0
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.55,45270.72487683465
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.6,47030.34791210095
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.65,48849.05797670685
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.7,50765.70444021814
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.75,52834.06732831405
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.8,55137.28748876429
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.85,57821.97188186609
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.9,61199.91787603941
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.95,66206.54269177672
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.975,70549.04306155031
2021-08-23,1 wk ahead inc case,2021-08-28,GM,None,quantile,0.99,75598.13820336582
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,point,NA,41496.0
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.01,0.0
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.025,3298.0307820742237
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.05,9439.253699618217
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.1,16519.690415747624
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.15,21296.82745367141
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.2,25093.54453308736
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.25,28350.78972112722
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.3,31275.89656938164
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.35,33986.443992353736
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.4,36558.48843174385
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.45,39046.971192881574
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.5,41496.0
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.55,43945.02880711843
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.6,46433.51156825615
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.65,49005.556007646264
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.7,51716.10343061836
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.75,54641.21027887278
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.8,57898.45546691264
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.85,61695.17254632859
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.9,66472.30958425238
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.95,73552.74630038177
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.975,79693.96921792577
2021-08-23,2 wk ahead inc case,2021-09-04,GM,None,quantile,0.99,86834.46804519335
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,point,NA,33118.0
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,quantile,0.01,0.0
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,quantile,0.025,0.0
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,quantile,0.05,0.0
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,quantile,0.1,2528.3929303983095
2021-08-23,3 wk ahead inc case,2021-09-11,GM,None,quantile,0.15,8379.167017530275
