forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,point,NA,165815.0
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.01,131489.76508589377
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.025,136895.75497080883
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.05,141545.20450876997
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.1,146905.7220572091
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.15,150522.4377980268
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.2,153396.88881660654
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.25,155862.91184457613
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.3,158077.47673933857
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.35,160129.601150481
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.4,162076.8665389715
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.45,163960.86833785474
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.5,165815.0
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.55,167669.13166214526
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.6,169553.1334610285
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.65,171500.398849519
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.7,173552.52326066143
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.75,175767.08815542387
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.8,178233.11118339346
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.85,181107.5622019732
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.9,184724.2779427909
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.95,190084.79549123
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.975,194734.24502919117
2021-12-06,1 wk ahead inc case,2021-12-11,PL,None,quantile,0.99,200140.23491410623
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,point,NA,148361.0
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.01,99817.78725282851
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.025,107463.01146612714
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.05,114038.3260602811
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.1,121619.24267862267
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.15,126734.05113053533
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.2,130799.13874538799
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.25,134286.62195666693
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.3,137418.48966559532
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.35,140320.63183950985
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.4,143074.4809614528
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.45,145738.86185696884
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.5,148361.0
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.55,150983.1381430312
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.6,153647.5190385472
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.65,156401.36816049015
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.7,159303.51033440468
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.75,162435.37804333307
2021-12-06,2 wk ahead inc case,2021-12-18,PL,None,quantile,0.8,165922.861254612
