forecast_date,target,target_end_date,location,type,quantile,value
2022-02-21,1 wk ahead cum death,2022-02-26,GM,point,NA,122366.0
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.01,121302.0
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.025,121367.3218968973
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.05,121527.88291570521
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.1,121712.99948743868
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.15,121837.89675954435
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.2,121937.16115208984
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.25,122022.32116222476
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.3,122098.79748330668
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.35,122169.66419203929
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.4,122236.90976855598
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.45,122301.97064206259
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.5,122366.0
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.55,122430.02935793741
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.6,122495.09023144402
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.65,122562.33580796071
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.7,122633.20251669332
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.75,122709.67883777524
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.8,122794.83884791016
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.85,122894.10324045565
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.9,123019.00051256132
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.95,123204.11708429479
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.975,123364.6781031027
2022-02-21,1 wk ahead cum death,2022-02-26,GM,quantile,0.99,123551.36498646393
2022-02-21,2 wk ahead cum death,2022-03-05,GM,point,NA,123470.0
2022-02-21,2 wk ahead cum death,2022-03-05,GM,quantile,0.01,121793.64075978051
2022-02-21,2 wk ahead cum death,2022-03-05,GM,quantile,0.025,122057.65588214713
2022-02-21,2 wk ahead cum death,2022-03-05,GM,quantile,0.05,122284.72345253373
2022-02-21,2 wk ahead cum death,2022-03-05,GM,quantile,0.1,122546.5178188992
2022-02-21,2 wk ahead cum death,2022-03-05,GM,quantile,0.15,122723.14923501444
