forecast_date,target,target_end_date,location,type,quantile,
2022-05-30,1 wk ahead cum death,2022-06-04,PL,point,NA,116365
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.01,116351
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.025,116351
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.05,116351
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.1,116351
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.15,116352.0486
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.2,116354.483
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.25,116356.5715
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.3,116358.447
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.35,116360.185
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.4,116361.8341
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.45,116363.4297
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.5,116365
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.55,116366.5703
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.6,116368.1659
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.65,116369.815
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.7,116371.553
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.75,116373.4285
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.8,116375.517
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.85,116377.9514
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.9,116381.0145
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.95,116385.5543
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.975,116389.492
2022-05-30,1 wk ahead cum death,2022-06-04,PL,quantile,0.99,116394.0704
2022-05-30,2 wk ahead cum death,2022-06-11,PL,point,NA,116416
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.01,116391
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.025,116391
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.05,116391
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.1,116393.3521
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.15,116397.6839
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.2,116401.1267
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.25,116404.0803
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.3,116406.7327
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.35,116409.1905
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.4,116411.5228
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.45,116413.7793
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.5,116416
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.55,116418.2207
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.6,116420.4772
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.65,116422.8095
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.7,116425.2673
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.75,116427.9197
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.8,116430.8733
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.85,116434.3161
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.9,116438.6479
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.95,116445.0682
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.975,116450.6369
2022-05-30,2 wk ahead cum death,2022-06-11,PL,quantile,0.99,116457.1118
2022-05-30,3 wk ahead cum death,2022-06-18,PL,point,NA,116464
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.01,116431
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.025,116431
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.05,116431
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.1,116436.2621
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.15,116441.5675
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.2,116445.784
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.25,116449.4014
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.3,116452.6499
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.35,116455.6601
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.4,116458.5166
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.45,116461.2802
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.5,116464
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.55,116466.7198
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.6,116469.4834
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.65,116472.3399
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.7,116475.3501
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.75,116478.5986
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.8,116482.216
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.85,116486.4325
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.9,116491.7379
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.95,116499.6012
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.975,116506.4214
2022-05-30,3 wk ahead cum death,2022-06-18,PL,quantile,0.99,116514.3514
2022-05-30,4 wk ahead cum death,2022-06-25,PL,point,NA,116509
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.01,116471
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.025,116471
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.05,116471
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.1,116476.9711
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.15,116483.0971
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.2,116487.9659
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.25,116492.1429
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.3,116495.894
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.35,116499.37
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.4,116502.6683
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.45,116505.8594
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.5,116509
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.55,116512.1406
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.6,116515.3317
2022-05-30,4 wk ahead cum death,2022-06-25,PL,quantile,0.65,116518.63
