forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-06-07,2021-06-12,1 wk ahead cum death,PL,point,NA,Poland,74448.4
2021-06-07,2021-06-12,1 wk ahead inc death,PL,point,NA,Poland,309.4
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.01,Poland,74353.2
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.025,Poland,74359.15
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.05,Poland,74377.0
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.1,Poland,74391.28
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.15,Poland,74400.8
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.2,Poland,74412.7
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.25,Poland,74418.65
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.3,Poland,74424.6
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.35,Poland,74430.55
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.4,Poland,74436.5
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.45,Poland,74442.45
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.5,Poland,74448.4
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.55,Poland,74454.35
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.6,Poland,74460.3
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.65,Poland,74466.25
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.7,Poland,74472.2
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.75,Poland,74484.1
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.8,Poland,74490.05
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.85,Poland,74501.95
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.9,Poland,74513.85
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.95,Poland,74531.7
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.975,Poland,74543.6
2021-06-07,2021-06-12,1 wk ahead cum death,PL,quantile,0.99,Poland,74567.4
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.01,Poland,214.2
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.025,Poland,220.15000000000003
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.05,Poland,238.0
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.1,Poland,252.28000000000003
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.15,Poland,261.8
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.2,Poland,273.7
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.25,Poland,279.65
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.3,Poland,285.59999999999997
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.35,Poland,291.55
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.4,Poland,297.5
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.45,Poland,303.45
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.5,Poland,309.4
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.55,Poland,315.34999999999997
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.6,Poland,321.3
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.65,Poland,327.25
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.7,Poland,333.2
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.75,Poland,345.09999999999997
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.8,Poland,351.05
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.85,Poland,362.95
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.9,Poland,374.84999999999997
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.95,Poland,392.70000000000005
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.975,Poland,404.59999999999997
2021-06-07,2021-06-12,1 wk ahead inc death,PL,quantile,0.99,Poland,428.4
2021-06-07,2021-06-19,2 wk ahead cum death,PL,point,NA,Poland,74638.79999999999
2021-06-07,2021-06-19,2 wk ahead inc death,PL,point,NA,Poland,190.4
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.01,Poland,74466.25
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.025,Poland,74484.09999999999
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.05,Poland,74507.9
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.1,Poland,74534.08
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.15,Poland,74549.55
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.2,Poland,74573.34999999999
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.25,Poland,74585.25
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.3,Poland,74597.15000000001
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.35,Poland,74609.05
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.4,Poland,74615.0
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.45,Poland,74626.9
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.5,Poland,74638.79999999999
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.55,Poland,74650.70000000001
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.6,Poland,74656.65000000001
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.65,Poland,74668.55
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.7,Poland,74680.45
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.75,Poland,74698.3
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.8,Poland,74710.2
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.85,Poland,74734.0
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.9,Poland,74751.85
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.95,Poland,74781.59999999999
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.975,Poland,74805.40000000001
2021-06-07,2021-06-19,2 wk ahead cum death,PL,quantile,0.99,Poland,74847.04999999999
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.01,Poland,113.04999999999998
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.025,Poland,124.94999999999999
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.05,Poland,130.9
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.1,Poland,142.79999999999998
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.15,Poland,148.75
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.2,Poland,160.64999999999998
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.25,Poland,166.6
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.3,Poland,172.54999999999998
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.35,Poland,178.5
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.4,Poland,178.5
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.45,Poland,184.45
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.5,Poland,190.4
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.55,Poland,196.35000000000002
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.6,Poland,196.35
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.65,Poland,202.29999999999998
2021-06-07,2021-06-19,2 wk ahead inc death,PL,quantile,0.7,Poland,208.25
