forecast_date,target_end_date,target,location,type,quantile,location_name,value
2021-09-20,2021-09-25,1 wk ahead cum case,PL,point,NA,Poland,2903230
2021-09-20,2021-09-25,1 wk ahead inc case,PL,point,NA,Poland,5835
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.01,Poland,2901383
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.025,Poland,2901530
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.05,Poland,2901651
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.1,Poland,2901802
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.15,Poland,2901949
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.2,Poland,2902089
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.25,Poland,2902233
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.3,Poland,2902441
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.35,Poland,2902720
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.4,Poland,2902952
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.45,Poland,2903189
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.5,Poland,2903368
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.55,Poland,2903520
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.6,Poland,2903685
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.65,Poland,2903830
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.7,Poland,2903975
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.75,Poland,2904069
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.8,Poland,2904202
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.85,Poland,2904325
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.9,Poland,2904493
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.95,Poland,2904802
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.975,Poland,2904920
2021-09-20,2021-09-25,1 wk ahead cum case,PL,quantile,0.99,Poland,2905133
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.01,Poland,3988
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.025,Poland,4135
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.05,Poland,4256
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.1,Poland,4407
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.15,Poland,4554
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.2,Poland,4694
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.25,Poland,4838
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.3,Poland,5046
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.35,Poland,5325
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.4,Poland,5557
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.45,Poland,5794
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.5,Poland,5973
2021-09-20,2021-09-25,1 wk ahead inc case,PL,quantile,0.55,Poland,6125
