"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,202,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.01,70,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.025,87,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.05,102,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.1,121,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.15,135,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.2,146,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.25,155,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.3,164,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.35,174,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.4,184,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.45,193,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.5,202,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.55,210,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.6,220,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.65,231,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.7,241,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.75,253,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.8,267,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.85,285,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.9,307,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.95,340,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.975,373,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","quantile",0.99,422,"2021-06-26","2021-06-21","1 wk ahead inc death"
"PL","point",NA,139,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.01,0,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.025,0,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.05,7,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.1,28,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.15,45,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.2,60,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.25,74,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.3,86,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.35,99,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.4,111,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.45,126,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.5,139,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.55,154,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.6,169,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.65,188,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.7,207,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.75,230,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.8,254,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.85,286,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.9,331,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.95,404,"2021-07-03","2021-06-21","2 wk ahead inc death"
"PL","quantile",0.975,480,"2021-07-03","2021-06-21","2 wk ahead inc death"
