"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,182,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.01,0,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.025,23,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.05,54,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.1,85,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.15,104,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.2,119,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.25,131,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.3,142,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.35,152,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.4,162,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.45,171,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.5,182,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.55,193,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.6,205,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.65,219,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.7,232,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.75,247,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.8,266,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.85,291,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.9,323,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.95,373,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.975,425,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","quantile",0.99,483,"2021-09-04","2021-08-30","1 wk ahead inc death"
"GM","point",NA,192,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.01,0,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.025,0,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.05,0,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.1,39,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.15,65,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.2,88,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.25,107,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.3,124,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.35,141,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.4,159,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.45,175,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.5,192,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.55,208,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.6,227,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.65,249,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.7,274,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.75,300,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.8,334,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.85,373,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.9,430,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.95,518,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.975,606,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","quantile",0.99,728,"2021-09-11","2021-08-30","2 wk ahead inc death"
"GM","point",NA,193,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.01,0,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.025,0,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.05,0,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.1,0,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.15,25,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.2,53,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.25,76,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.3,100,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.35,125,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.4,147,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.45,169,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.5,193,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.55,222,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.6,252,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.65,284,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.7,319,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.75,363,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.8,414,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.85,472,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.9,555,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.95,706,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.975,847,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","quantile",0.99,1039,"2021-09-18","2021-08-30","3 wk ahead inc death"
"GM","point",NA,193,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.01,0,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.025,0,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.05,0,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.1,0,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.15,0,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.2,24,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.25,52,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.3,77,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.35,105,"2021-09-25","2021-08-30","4 wk ahead inc death"
"GM","quantile",0.4,133,"2021-09-25","2021-08-30","4 wk ahead inc death"
